Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
2016,"Afghanistan","Coordination and Support Services",1314127.99,440,74
2016,"Afghanistan","Emergency Shelter and NFI",5870223.1706,57744,61322
2016,"Afghanistan","Food Security",5272122.4509000005,153340,161153
2016,"Afghanistan","Health",13957012.621,1949920,1787811
2016,"Afghanistan","Multi-Sector",50000.01,8,8
2016,"Afghanistan","Nutrition",7004189.3555,254049,313812
2016,"Afghanistan","Protection",3971015.5195000004,517424,705944
2016,"Afghanistan","Water Sanitation Hygiene",2315519.3725,127582,84171
2016,"CAR","Camp Coordination / Management",613633.6799999999,71308,50890
2016,"CAR","Early Recovery",972000.2952,272236,50773
2016,"CAR","Education",1579690.58,49772,55487
2016,"CAR","Emergency Shelter and NFI",754583.8600000001,39211,41860
2016,"CAR","Food Security",3770060.348,64445,62318
2016,"CAR","Health",3773776.6295,2187009,1926058
2016,"CAR","Logistics",589999.71,21416,2069
2016,"CAR","Nutrition",2137786.5545,71922,69703
2016,"CAR","Protection",3233473.8288000003,946590,977961
2016,"CAR","Water Sanitation Hygiene",5232878.924,336375,548376
2016,"Colombia","Early Recovery",90000,652,553
2016,"Colombia","Education",216998.42500000002,1203,1997
2016,"Colombia","Emergency Shelter and NFI",295424.795,750,592
2016,"Colombia","Food Security",240784.51069999998,2636,3545
2016,"Colombia","Health",249757.12,1716,2670
2016,"Colombia","Protection",393757.8286,2520,2897
2016,"Colombia","Water Sanitation Hygiene",636582.9107,4086,5362
2016,"DRC","Coordination and Support Services",4215677.0675,21089,23627
2016,"DRC","Education",4216793.0139999995,83106,81657
2016,"DRC","Emergency Shelter and NFI",5231717.2455,172595,194021
2016,"DRC","Food Security",8722944.9883,248543,263012
2016,"DRC","Health",11043460.9477,441260,418001
2016,"DRC","Logistics",6608505.424459999,148627,167820
2016,"DRC","Multi-Sector",715000,22416,24337
2016,"DRC","Nutrition",2986681.9239,58768,62213
2016,"DRC","Protection",4917212.885399999,818668,356428
2016,"DRC","Water Sanitation Hygiene",9211546.09324,479295,522723
2016,"Ethiopia","Coordination and Support Services",1045694.95,4688248,8245883
2016,"Ethiopia","Emergency Shelter and NFI",5674323.886639999,146384,167319
2016,"Ethiopia","Food Security",12306516.3519,1671853,2056728
2016,"Ethiopia","Health",8979543.5435,5832821,6026265
2016,"Ethiopia","Logistics",899029.4099999999,1797715,1723763
2016,"Ethiopia","Nutrition",22147190.88998,11014634,1023833
2016,"Ethiopia","Protection",499999.2,125034,80823
2016,"Ethiopia","Water Sanitation Hygiene",8970961.17798,2369866,1906794
2016,"Iraq","Camp Coordination / Management",2582359.45,115220,158642
2016,"Iraq","Coordination and Support Services",1734770.67,35940,55359
2016,"Iraq","Early Recovery",1488414.67,13529,10291
2016,"Iraq","Education",3940637.198,69607,119769
2016,"Iraq","Emergency Shelter and NFI",17481934.023,479545,587134
2016,"Iraq","Food Security",6520037.6175,386243,474940
2016,"Iraq","Health",20360712.1325,2403487,2554535
2016,"Iraq","Multi-Sector",6003107.27,367650,357538
2016,"Iraq","Protection",7744588.692,833830,1537922
2016,"Iraq","Water Sanitation Hygiene",20430164.807,1249188,1508104
2016,"Jordan","Emergency Shelter and NFI",6489270.1405,91990,98762
2016,"Jordan","Food Security",386417.5,247500,226650
2016,"Jordan","Health",3252665.5524,122436,142960
2016,"Jordan","Nutrition",292442.13,13820,10041
2016,"Jordan","Protection",1056865.1771,25285,33083
2016,"Jordan","Water Sanitation Hygiene",380109.56,10419,10557
2016,"Lebanon","Early Recovery",2459665.3310000002,12401,14618
2016,"Lebanon","Emergency Shelter and NFI",8393720.085,40287,36832
2016,"Lebanon","Food Security",623679.77,7429,8242
2016,"Lebanon","Health",2956422.0609999998,139735,180279
2016,"Lebanon","Protection",5396495.9799999995,108503,121174
2016,"Lebanon","Water Sanitation Hygiene",7614986.033,300072,325213
2016,"Myanmar","Education",868818.61062,21962,24363
2016,"Myanmar","Emergency Shelter and NFI",1730148.8525,35798,36283
2016,"Myanmar","Food Security",875947.715,27031,22046
2016,"Myanmar","Health",833346.1200000001,50881,34553
2016,"Myanmar","Nutrition",19607.6023,2765,1690
2016,"Myanmar","Protection",808312.9993799999,35578,44562
2016,"Myanmar","Water Sanitation Hygiene",419047.7202,11071,13397
2016,"oPt","Emergency Shelter and NFI",3061144.0300000003,15507,17272
2016,"oPt","Food Security",1674103.0999999999,45255,56022
2016,"oPt","Health",250000.05,10000,10150
2016,"oPt","Protection",948383.94,194168,196901
2016,"oPt","Water Sanitation Hygiene",2225276.38,271739,272254
2016,"Pakistan","Coordination and Support Services",324284.52,741183,743179
2016,"Pakistan","Education",849950.18,15292,19813
2016,"Pakistan","Emergency Shelter and NFI",1499727.93,9660,9177
