"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"4660","5270","3","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","Murle","Murle","Murle","655","","","","2006-05-31","5","2011-04-24","2","0","","","2011","1415","1415","1425","South Sudan, Sudan","625, 626","4","22.1"
"4660","5270","3","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","Murle","Murle","Murle","655","","","","2006-05-31","5","2011-04-24","2","0","","","2012","424","424","424","Ethiopia, South Sudan","530, 626","4","22.1"
"4660","5270","3","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","Murle","Murle","Murle","655","","","","2006-05-31","5","2011-04-24","2","1","2013-08-08","1","2013","118","118","488","South Sudan","626","4","22.1"
"4660","5270","3","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","Murle","Murle","Murle","655","","","","2006-05-31","5","2016-02-14","2","0","","","2016","101","101","101","South Sudan","626","4","22.1"
"4660","5270","3","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","Murle","Murle","Murle","655","","","","2006-05-31","5","2016-02-14","2","1","2017-04-10","1","2017","32","32","42","South Sudan","626","4","22.1"
"4660","5270","3","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","Murle","Murle","Murle","655","","","","2006-05-31","5","2019-01-06","1","0","","","2019","51","50","51","South Sudan","626","4","22.1"
"4660","5270","3","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","Murle","Murle","Murle","655","","","","2006-05-31","5","2019-01-06","1","1","2020-05-17","2","2020","310","310","533","Ethiopia, South Sudan","530, 626","4","22.1"
"4661","5271","3","Hol Dinka","Hol Dinka","Hol Dinka","900","","","","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","2008-05-17","1","2008-05-17","1","0","","","2008","31","31","36","Sudan","625","4","22.1"
"4661","5271","3","Hol Dinka","Hol Dinka","Hol Dinka","900","","","","Lou Nuer","Lou Nuer","Lou Nuer","706","","","","2008-05-17","1","2008-05-17","1","1","2009-10-16","1","2009","191","191","198","Sudan","625","4","22.1"
"4662","5272","1","LRA","Lord's Resistance Army","Lord's Resistance Army","488","","","","SPLM/A","Sudanese People’s Liberation Movement/Army","n/a","466","","","","1995-10-30","3","1995-10-30","3","0","","","1995","36","36","36","Sudan","625","4","22.1"
"4662","5272","1","LRA","Lord's Resistance Army","Lord's Resistance Army","488","","","","SPLM/A","Sudanese People’s Liberation Movement/Army","n/a","466","","","","1995-10-30","3","1995-10-30","3","0","","","1996","152","152","152","Sudan","625","4","22.1"
"4662","5272","1","LRA","Lord's Resistance Army","Lord's Resistance Army","488","","","","SPLM/A","Sudanese People’s Liberation Movement/Army","n/a","466","","","","1995-10-30","3","1995-10-30","3","0","","","1997","100","100","100","Sudan","625","4","22.1"
"4662","5272","1","LRA","Lord's Resistance Army","Lord's Resistance Army","488","","","","SPLM/A","Sudanese People’s Liberation Movement/Army","n/a","466","","","","1995-10-30","3","1995-10-30","3","1","1998-09-14","1","1998","58","58","58","Sudan","625","4","22.1"
"4662","5272","1","LRA","Lord's Resistance Army","Lord's Resistance Army","488","","","","SPLM/A","Sudanese People’s Liberation Movement/Army","n/a","466","","","","1995-10-30","3","2004-03-05","2","1","2004-12-22","1","2004","142","142","142","Sudan","625","4","22.1"
"4663","5273","1","LTTE","Liberation Tigers of Tamil Eelam","Thamil Eelam Viduthalai Puligal","320","","","","LTTE - K","Liberation Tigers of Tamil Eelam - Karuna faction","Thamil Eelam Viduthalai Puligal - Karuna faction","389","","","","2004-03-30","1","2004-05-21","1","0","","","2004","60","60","80","Sri Lanka","780","3","22.1"
