"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"4604","5214","3","Darsalim","Darsalim","Darsalim","594","","","","Kibete","Kibete","Kibete","637","","","","2006-11-07","2","2006-11-07","2","1","2006-11-07","2","2006","140","140","300","Chad","483","4","22.1"
"4605","5215","3","Da'ud subclan of Abgal clan (Hawiye)","Da'ud subclan of Abgal clan (Hawiye)","n/a","595","","","","Warsangeli subclan of Abgal clan (Hawiye)","Warsangeli subclan of Abgal clan (Hawiye)","n/a","699","","","","2004-01-21","1","2004-05-12","1","1","2004-09-22","1","2004","132","128","143","Somalia","520","4","22.1"
"4606","5216","3","Dawa","Dawa","Dawa","596","","","","Gura","Gura","Gura","614","","","","2003-12-06","3","2003-12-06","3","1","2003-12-06","3","2003","55","55","55","Ethiopia","530","4","22.1"
"4607","5217","3","Derashe","Derashe","Derashe","919","","","","Konso","Konso","Konso","1039","","","","2008-02-07","2","2008-02-07","2","1","2008-02-07","2","2008","33","33","33","Ethiopia","530","4","22.1"
"4608","5218","3","Didinga","Didinga","Didinga","707","","","","Toposa","Toposa","Toposa","692","","","","2007-05-05","1","2007-05-05","1","1","2007-05-05","1","2007","54","54","54","Sudan","625","4","22.1"
"4609","5219","3","Dir clan","Dir clan","n/a","600","","","","Marehan subclan (Darod)","Marehan subclan (Darod)","n/a","644","","","","2004-02-21","2","2004-03-05","1","1","2004-03-20","2","2004","121","121","132","Somalia","520","4","22.1"
"4610","5220","3","Dir clan","Dir clan","n/a","600","","","","Sa'ad subclan of Habar Gidir clan (Hawiye)","Sa'ad subclan of Habar Gidir clan (Hawiye)","n/a","680","","","","2019-12-05","1","2019-12-10","2","1","2019-12-10","2","2019","53","30","53","Somalia","520","4","22.1"
"4611","5221","3","Dizi","Dizi","Dizi","601","","","","Suri","Suri","Suri","688","","","","1991-12-31","5","1991-12-31","5","1","1991-12-31","5","1991","91","91","91","Ethiopia","530","4","22.1"
"4611","5221","3","Dizi","Dizi","Dizi","601","","","","Suri","Suri","Suri","688","","","","1991-12-31","5","1993-12-31","5","1","1993-12-31","5","1993","62","62","62","Ethiopia","530","4","22.1"
"4611","5221","3","Dizi","Dizi","Dizi","601","","","","Suri","Suri","Suri","688","","","","1991-12-31","5","2002-11-17","5","1","2002-11-17","5","2002","35","35","35","Ethiopia","530","4","22.1"
"4612","5222","1","DKBA","Democratic Karen Buddhist Army","Democratic Karen Buddhist Army","785","","","","KNU","Karen National Union","n/a","180","","","","1994-12-07","2","1996-02-27","1","1","1996-09-23","1","1996","66","66","93","Myanmar (Burma), Thailand","775, 800","3","22.1"
