Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Sudan,SDN,20147592,27275019,36193781,37072555,37977657,38902948,39847433,40813398,41801532,42813237,43849269,44909351
"Population, total",SP.POP.TOTL,Suriname,SUR,405169,470944,541247,547295,553278,559136,564883,570501,575987,581363,586634,591798
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8636561,8697723
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12446168,16410847,20438861,19578466,18710711,17997411,17465567,17095669,16945062,17070132,17500657,18275704
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5283811,6216329,7874838,8059782,8252828,8454019,8663575,8880270,9100847,9321023,9537642,9749625
"Population, total",SP.POP.TOTL,Tanzania,TZA,25203848,33499177,47053033,48483132,49960563,51482638,53049231,54660345,56313444,58005461,59734213,61498438
"Population, total",SP.POP.TOTL,Thailand,THA,56558196,62952639,67835969,68144519,68438748,68714519,68971313,69209817,69428454,69625581,69799978,69950844
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,737814,884366,1133002,1153288,1174333,1196294,1219289,1243260,1267975,1293120,1318442,1343875
"Population, total",SP.POP.TOTL,Togo,TGO,3774310,4924406,6773807,6954721,7137997,7323162,7509952,7698476,7889095,8082359,8278737,8478242
"Population, total",SP.POP.TOTL,Tonga,TON,95069,97962,102736,101768,101023,100780,101143,102002,103199,104497,105697,106759
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221121,1267159,1344814,1353708,1362337,1370332,1377563,1384060,1389841,1394969,1399491,1403374
"Population, total",SP.POP.TOTL,Tunisia,TUN,8242509,9708347,10846993,10952949,11063195,11179951,11303942,11433438,11565203,11694721,11818618,11935764
"Population, total",SP.POP.TOTL,Turkiye,TUR,53921758,63240196,74651046,75925454,77229262,78529413,79827868,81116451,82340090,83429607,84339067,85042736
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3683978,4516128,5267906,5366376,5466324,5565283,5662371,5757667,5850902,5942094,6031187,6117933
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,12115,20171,34067,34733,35371,35979,36558,37116,37667,38194,38718,39226
"Population, total",SP.POP.TOTL,Tuvalu,TUV,8910,9392,10744,10849,10973,11099,11232,11365,11505,11655,11792,11925
