Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
2020,"Afghanistan","Coordination and Support Services",9195099.95,76662,2634
2020,"Afghanistan","Education",1455763.42,171585,172056
2020,"Afghanistan","Emergency Shelter and NFI",11765236.7577,233810,237085
2020,"Afghanistan","Food Security",10851945.611900002,514904,464617
2020,"Afghanistan","Health",13156308.758605,2152816,4043317
2020,"Afghanistan","Nutrition",8015693.27468,448474,848600
2020,"Afghanistan","Protection",10052012.085915,923951,1035995
2020,"Afghanistan","Water Sanitation Hygiene",9782455.5512,1010686,1140079
2020,"CAR","Camp Coordination / Management",1607468.38745,119821,134852
2020,"CAR","Coordination and Support Services",870231.3500000001,2086,2059
2020,"CAR","Education",1396688.4049,145726,130351
2020,"CAR","Emergency Shelter and NFI",3316534.9503880003,235635,191648
2020,"CAR","Emergency Telecommunications",160037.55,2200,689
2020,"CAR","Food Security",4762042.0195,141912,159306
2020,"CAR","Health",3308684.918,621595,658157
2020,"CAR","Logistics",4542869.7345,615,585
2020,"CAR","Nutrition",2887373.2899,310983,300369
2020,"CAR","Protection",3057054.5811159997,326784,456278
2020,"CAR","Water Sanitation Hygiene",4930985.154246001,676247,825604
2020,"DRC","Education",3524574.2215,64287,50815
2020,"DRC","Emergency Shelter and NFI",7862583.630863,223598,230140
2020,"DRC","Food Security",15726052.665438,481170,348026
2020,"DRC","Health",12878888.998100001,1810904,2144152
2020,"DRC","Logistics",902131.98,115016,355043
2020,"DRC","Multi-Sector",1038011.87,114,118
2020,"DRC","Nutrition",7580754.843,435491,557439
2020,"DRC","Protection",12004863.648005001,820678,1068370
2020,"DRC","Water Sanitation Hygiene",13482779.813094,1591573,2180639
2020,"Ethiopia","Education",2776067.9294,145533,160972
2020,"Ethiopia","Emergency Shelter and NFI",12308091.484682001,899202,961829
2020,"Ethiopia","Food Security",2390790.01,902733,740857
2020,"Ethiopia","Health",12250001.962726,2498205,2680331
2020,"Ethiopia","Logistics",4800014.85,75,101
2020,"Ethiopia","Nutrition",5919619.395371,754979,942293
2020,"Ethiopia","Protection",5982411.703962999,673842,688174
2020,"Ethiopia","Water Sanitation Hygiene",11051524.223857999,1374747,1470083
2020,"Iraq","Camp Coordination / Management",1100182.8,27503,20404
2020,"Iraq","Coordination and Support Services",605367.23,34722,46834
2020,"Iraq","Education",2100000.01,74621,74900
2020,"Iraq","Emergency Shelter and NFI",3126977.85,30168,32089
2020,"Iraq","Food Security",2200000,11664,13672
2020,"Iraq","Health",2905023.7,1390267,239497
2020,"Iraq","Multi-Sector",2999807.06,13686,16853
2020,"Iraq","Protection",7957509.72,150125,202018
2020,"Iraq","Water Sanitation Hygiene",4599244.21,221574,313757
2020,"Jordan","Emergency Shelter and NFI",3812763.5420000004,73990,74478
2020,"Jordan","Health",1634009.98,534448,94373
2020,"Jordan","Protection",1567377.198,162363,303446
2020,"Jordan","Water Sanitation Hygiene",1320363.7,343557,333942
2020,"Lebanon","Coordination and Support Services",431594.12380000006,14235,1953
2020,"Lebanon","COVID-19",211168.939,330,483
2020,"Lebanon","Emergency Shelter and NFI",996813.01,25605,33710
2020,"Lebanon","Food Security",3921972.9762,61564,83003
2020,"Lebanon","Health",6697707.4896,75432,108593
2020,"Lebanon","Protection",3061693.4114,15923,17889
2020,"Lebanon","Water Sanitation Hygiene",889156.0800000001,2331,3061
2020,"Myanmar","Camp Coordination / Management",200155.32900000003,7544,7350
2020,"Myanmar","Coordination and Support Services",326635.5,29036,27056
2020,"Myanmar","COVID-19",3789334.2925000004,719034,782551
2020,"Myanmar","Education",1990652.8257,62538,67663
2020,"Myanmar","Emergency Shelter and NFI",2634645.0884,74315,65879
2020,"Myanmar","Food Security",1883014.419,50454,40457
2020,"Myanmar","Health",1678063.9272000003,197987,171890
2020,"Myanmar","Nutrition",291158.5085,10887,11279
2020,"Myanmar","Protection",2063041.4016000002,146763,124491
2020,"Myanmar","Water Sanitation Hygiene",1688031.4881000002,98085,57604
2020,"Nigeria","Coordination and Support Services",809358.43,100220,400311
2020,"Nigeria","Emergency Shelter and NFI",5934223.876800001,802700,1016194
2020,"Nigeria","Food Security",588800.63,4800,5204
2020,"Nigeria","Health",6102701.25,1511885,1426620
2020,"Nigeria","Nutrition",4249657.22,171107,271510
2020,"Nigeria","Protection",2114866.6232000003,407580,306157
2020,"Nigeria","Water Sanitation Hygiene",3558494.4699999997,505220,887592
2020,"oPt","Education",687991.816,10302,11563
2020,"oPt","Emergency Shelter and NFI",4483074.300000001,95299,104754
2020,"oPt","Food Security",9332312.49,143463,144952
2020,"oPt","Health",12932171.984,1108640,2384602
2020,"oPt","Protection",3575189.4000000004,87352,96202
2020,"oPt","Water Sanitation Hygiene",5179161.77,10748187,9276079
2020,"Pakistan","Food Security",5793917.380000001,1661231,209717
2020,"Pakistan","Health",2893633.4,1457007,1493631
2020,"Pakistan","Water Sanitation Hygiene",993893.78,248775,251689
2020,"Somalia","Camp Coordination / Management",2182999.9055749997,241748,420966
2020,"Somalia","Education",1473282.526,58717,119835
2020,"Somalia","Emergency Shelter and NFI",6339097.147050001,153501,162723
2020,"Somalia","Food Security",3927553.07,88720,94472
2020,"Somalia","Health",6133145.917,300712,319593
2020,"Somalia","Logistics",1000006.52,30,0
2020,"Somalia","Multi-Sector",1464691.4440000001,3786,3703
2020,"Somalia","Nutrition",2024641.093,135119,158255
2020,"Somalia","Protection",4427332.364,192554,630262
2020,"Somalia","Water Sanitation Hygiene",7583332.533375001,300477,322371
2020,"South Sudan","Camp Coordination / Management",1448473.2379,69054,103966
2020,"South Sudan","Coordination and Support Services",1000000,153783,374
2020,"South Sudan","Education",2483007.7613,43843,56481
2020,"South Sudan","Emergency Shelter and NFI",4455428.4015,423010,410594
2020,"South Sudan","Food Security",8081613.5613,1238075,1299716
2020,"South Sudan","Health",14294684.16295,709732,939101
2020,"South Sudan","Logistics",2200000.05,29117,29161
2020,"South Sudan","Nutrition",8936579.5294,461861,582512
2020,"South Sudan","Protection",11596212.06845,433302,593582
2020,"South Sudan","Water Sanitation Hygiene",7886676.3171999995,473024,599476
2020,"Sudan","Coordination and Support Services",676881.98,56244,69473
2020,"Sudan","Education",1049962.54,43242,52337
2020,"Sudan","Emergency Shelter and NFI",2582439.11,162645,156520
2020,"Sudan","Food Security",18632906.3454,16412260,16622658
2020,"Sudan","Health",24397314.6827,8855180,6574441
2020,"Sudan","Nutrition",7687413.609200001,798208,323062
2020,"Sudan","Protection",3537737.4128,164212,148408
2020,"Sudan","Water Sanitation Hygiene",17226933.9199,2842556,2207539
2020,"Syria","COVID-19",21879349.270000003,9454749,9347116
2020,"Syria","Early Recovery",3438051.0650000004,84736,93392
2020,"Syria","Education",2923667.6900000004,44193,43532
2020,"Syria","Emergency Shelter and NFI",8927058.38,218856,273062
2020,"Syria","Food Security",11281481.761999998,344903,330675
2020,"Syria","Health",8053002.129999999,1088546,679007
2020,"Syria","Logistics",1500000,300,134
2020,"Syria","Nutrition",1502996.04,277881,289434
2020,"Syria","Protection",3272522.66,480007,242165
2020,"Syria","Water Sanitation Hygiene",5959814.052999999,883913,1073959
2020,"Syria Cross border","Camp Coordination / Management",8093467.5685,177968,173499
2020,"Syria Cross border","Coordination and Support Services",1583687.5799999998,4016250,15974
2020,"Syria Cross border","Early Recovery",6504965.800432,963499,1188214
2020,"Syria Cross border","Education",8861311.328,152885,202677
2020,"Syria Cross border","Emergency Shelter and NFI",38521081.79704,722728,843800
2020,"Syria Cross border","Food Security",44037187.149110995,1346428,1379418
2020,"Syria Cross border","Health",37565820.917692006,6189950,5608319
2020,"Syria Cross border","Nutrition",2729381.829445,549845,643283
2020,"Syria Cross border","Protection",14956942.3035,855560,920871
2020,"Syria Cross border","Water Sanitation Hygiene",21739055.576279998,1980708,2309748
2020,"Ukraine","Coordination and Support Services",630009.645028,29200,30201
2020,"Ukraine","COVID-19",1992139,15558,19938
2020,"Ukraine","Education",346628.60699999996,4035,4078
2020,"Ukraine","Emergency Shelter and NFI",820577.1240000001,4816,3077
2020,"Ukraine","Food Security",532657.691,3899,2763
2020,"Ukraine","Health",2482704.991,415075,383887
2020,"Ukraine","Protection",1346984.620264,77709,32559
2020,"Ukraine","Water Sanitation Hygiene",2573438.741708,64594,37138
2020,"Yemen","Camp Coordination / Management",2859475.6143,98609,66752
2020,"Yemen","Education",2114118.093888,50876,38241
2020,"Yemen","Emergency Shelter and NFI",8516822.9747,337153,100356
2020,"Yemen","Emergency Telecommunications",2384802.6277,78,83
2020,"Yemen","Food Security",15383075.908512,153252,120143
2020,"Yemen","Health",29729313.527,2116251,1329506
2020,"Yemen","Logistics",1995012.7623,53,47
2020,"Yemen","Multi-Sector",8222690.88,561307,457104
2020,"Yemen","Nutrition",9555852.1853,457591,569301
2020,"Yemen","Protection",6611316.100199999,160158,118078
2020,"Yemen","Water Sanitation Hygiene",11721353.5461,597315,454156
