Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
2019,"Afghanistan","Coordination and Support Services",2000000,3200,1920
2019,"Afghanistan","Education",3821982.50018,43731,61916
2019,"Afghanistan","Emergency Shelter and NFI",21943278.169999998,521670,457183
2019,"Afghanistan","Food Security",17002421.3875,1375017,1603740
2019,"Afghanistan","Health",2199711.27,63700,81112
2019,"Afghanistan","Nutrition",8998515.63,166198,169226
2019,"Afghanistan","Protection",4415944.51532,392696,367600
2019,"Afghanistan","Water Sanitation Hygiene",3399250.9569999995,360824,324365
2019,"CAR","Camp Coordination / Management",561987.873,91790,108168
2019,"CAR","Coordination and Support Services",1249172.6,677,1206
2019,"CAR","Early Recovery",1000099.06,15824,20228
2019,"CAR","Education",2404000.065,121298,133314
2019,"CAR","Emergency Shelter and NFI",2530772.084,180562,228158
2019,"CAR","Emergency Telecommunications",605905.98,1855,1855
2019,"CAR","Food Security",5039939.8100000005,186765,191741
2019,"CAR","Health",4955850.6555,862896,848091
2019,"CAR","Logistics",5300373.07,1572,12505
2019,"CAR","Nutrition",5235047.92,431901,421586
2019,"CAR","Protection",4172563.823,363820,412473
2019,"CAR","Water Sanitation Hygiene",5942709.0695,679443,729144
2019,"DRC","Coordination and Support Services",197999.21,100,100
2019,"DRC","Education",5514622.010548,77277,88381
2019,"DRC","Emergency Shelter and NFI",6936011.2269,120101,132938
2019,"DRC","Food Security",9131193.7129,184745,211311
2019,"DRC","Health",16936895.80032,2350528,2572362
2019,"DRC","Logistics",6326068.4234,4346,4508
2019,"DRC","Nutrition",6458664.27028,200012,258398
2019,"DRC","Protection",11562591.423052,855596,1122800
2019,"DRC","Water Sanitation Hygiene",15382909.742600001,1520061,1296873
2019,"Ethiopia","Coordination and Support Services",296122.54,10000,0
2019,"Ethiopia","Education",3790002.26,114093,107811
2019,"Ethiopia","Emergency Shelter and NFI",12025829.010091,760383,1087431
2019,"Ethiopia","Food Security",3968615.6589,588094,679368
2019,"Ethiopia","Health",10528031.517039001,4202371,4671573
2019,"Ethiopia","Nutrition",12030459.711278,1160385,1515326
2019,"Ethiopia","Protection",5237158.729013,1070890,890532
2019,"Ethiopia","Water Sanitation Hygiene",13156270.993679002,2030385,2386379
2019,"Iraq","Camp Coordination / Management",3670909.4147,386060,403254
2019,"Iraq","Coordination and Support Services",2458474.42,101183,254784
2019,"Iraq","Early Recovery",3335243.65,3258,3280
2019,"Iraq","Education",5141985.339,94634,116531
2019,"Iraq","Emergency Shelter and NFI",17783917.5075,304734,467355
2019,"Iraq","Emergency Telecommunications",137000.01,1,1
2019,"Iraq","Food Security",4987048.2516,43816,41763
