Madagascar,MDG,11848613735.1933
Maldives,MDV,4379136461.83077
Middle East & North Africa,MEA,3168626876840.16
Mexico,MEX,1078490651625.31
Marshall Islands,MHL,201510900.0
Middle income,MIC,26434313003919.9
North Macedonia,MKD,10672471860.7184
Mali,MLI,14026048334.2131
Malta,MLT,11668286794.8616
Myanmar,MMR,60291736893.9397
Middle East & North Africa (excluding high income),MNA,1467437712248.72
Montenegro,MNE,4376929571.63126
Mongolia,MNG,11181350461.4723
Northern Mariana Islands,MNP,1230000000.0
Mozambique,MOZ,11936993086.9579
Mauritania,MRT,6398747531.60142
Mauritius,MUS,12232463655.5727
Malawi,MWI,5433040159.88747
Malaysia,MYS,301255380276.258
North America,NAC,20230005494907.4
Namibia,NAM,10721994676.6562
New Caledonia,NCL,8724570249.74306
Niger,NER,10398862244.9737
Nigeria,NGA,404650006428.613
Nicaragua,NIC,13286083644.8761
Netherlands,NLD,784060430240.08
Norway,NOR,368827142857.143
Nepal,NPL,24524098184.648
Nauru,NRU,99723394.9628767
New Zealand,NZL,188838342527.975
OECD members,OED,48354878171224.4
Oman,OMN,75128738621.5865
Other small states,OSS,365901654951.657
Pakistan,PAK,313629858859.587
Panama,PAN,57907695400.0
Peru,PER,191895943823.887
Philippines,PHL,318626761492.867
Palau,PLW,298300000.0
Papua New Guinea,PNG,20759069103.0961
Poland,POL,472630364208.177
Pre-demographic dividend,PRE,1214494552345.81
Puerto Rico,PRI,104336700000.0
"Korea, Dem. People's Rep.",PRK,0.0
Portugal,PRT,206426152308.931
Paraguay,PRY,36089550659.0914
West Bank and Gaza,PSE,15405400000.0
Pacific island small states,PSS,9461610627.54152
Post-demographic dividend,PST,45620827320653.7
French Polynesia,PYF,5497037292.63831
Qatar,QAT,151732181857.113
Romania,ROU,188128818486.401
Russian Federation,RUS,1276786979221.81
Rwanda,RWA,8690878327.95492
South Asia,SAS,3005243895307.67
Saudi Arabia,SAU,644935682011.475
Sudan,SDN,102943741648.824
Senegal,SEN,19040312815.1337
Singapore,SGP,318832428519.725
Solomon Islands,SLB,1378543909.3128
Sierra Leone,SLE,3674794530.18956
El Salvador,SLV,24191430000.0
