Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2022,"Australia","Afghanistan",13899489.03,0,13899489.03,"AUD ","1.410000",19632099,0,19632099
2022,"Australia","Myanmar",3865829.92,0,3865829.92,"AUD","1.380000",5350308.61,0,5350308.61
2022,"Australia","Ukraine",11057065.12,0,11057065.12,"AUD","1.360000",15004437.37,0,15004437.37
2022,"Azerbaijan","Yemen",30000,0,30000,"USD","1.000000",30000,0,30000
2022,"Bangladesh","Afghanistan",116009.28,0,116009.28,"BDT ","93.120000",10802784,0,10802784
2022,"Belgium","Burkina Faso (RhPF)",3370786.52,0,3370786.52,"EUR","0.890000",3000000,0,3000000
2022,"Belgium","DRC",9402598,0,9402598,"EUR ","0.910000",8584572,0,8584572
2022,"Belgium","Lebanon",4494382.02,0,4494382.02,"EUR","0.890000",4000000,0,4000000
2022,"Belgium","Nigeria",5617977.53,0,5617977.53,"EUR","0.890000",5000000,0,5000000
2022,"Belgium","oPt",4494382.02,0,4494382.02,"EUR","0.890000",4000000,0,4000000
2022,"Belgium","Syria",7865168.54,0,7865168.54,"EUR","0.890000",7000000,0,7000000
2022,"Belgium","Syria Cross border",4494382.02,0,4494382.02,"EUR","0.890000",4000000,0,4000000
2022,"Belgium","Yemen",5617977.53,0,5617977.53,"EUR","0.890000",5000000,0,5000000
2022,"Canada","Burkina Faso (RhPF)",796333.8,0,796333.8,"CAD","1.260000",999714.81,0,999714.81
2022,"Canada","CAR",2232216.56,0,2232216.56,"CAD ","1.250000",2783589,0,2783589
2022,"Canada","DRC",4384817.39,0,4384817.39,"CAD ","1.250000",5468056,0,5468056
2022,"Canada","Ethiopia",7971029.88,0,7971029.88,"CAD","1.250000",9997879.44,0,9997879.44
2022,"Canada","Iraq",997477.58,0,997477.58,"CAD","1.250000",1249839.41,0,1249839.41
2022,"Canada","Lebanon",1316670.4,0,1316670.4,"CAD","1.250000",1649788.02,0,1649788.02
2022,"Canada","Myanmar",1994955.16,0,1994955.16,"CAD","1.250000",2499678.81,0,2499678.81
2022,"Canada","Niger (RhPF)",797982.06,0,797982.06,"CAD","1.250000",999871.52,0,999871.52
2022,"Canada","Nigeria",2789640.68,0,2789640.68,"CAD","1.250000",3499236.91,0,3499236.91
2022,"Canada","Somalia",4776944.56,0,4776944.56,"CAD ","1.250000",5947296,0,5947296
2022,"Canada","South Sudan",2868398.56,0,2868398.56,"CAD ","1.250000",3574516,0,3574516
2022,"Canada","Sudan",4898599.99,0,4898599.99,"CAD ","1.250000",6102117,0,6102117
2022,"Canada","Syria",3191928.25,0,3191928.25,"CAD","1.250000",3999486.1,0,3999486.1
2022,"Canada","Syria Cross border",3191928.25,0,3191928.25,"CAD","1.250000",3999486.1,0,3999486.1
2022,"Canada","Ukraine",30966083.97,0,30966083.97,"CAD","1.290000",40011237.17,0,40011237.17
2022,"Canada","Venezuela",1196973.09,0,1196973.09,"CAD","1.250000",1499807.29,0,1499807.29
2022,"Canada","Yemen",7497185.43,0,7497185.43,"CAD","1.250000",9398426.67,0,9398426.67
2022,"Croatia","Afghanistan",0,100000,100000,"","0.000000",0,100000,100000
2022,"Cyprus","Afghanistan",30762.15,0,30762.15,"EUR ","0.950000",29193,0,29193
2022,"Cyprus","Ukraine",110515.02,0,110515.02,"EUR","0.900000",100016.09,0,100016.09
2022,"Cyprus","Yemen",27901.79,0,27901.79,"EUR","0.900000",25000,0,25000
2022,"Denmark","Afghanistan",2482830.17,0,2482830.17,"DKK ","7.130000",17690165,0,17690165
2022,"Denmark","Ethiopia",4213234.02,0,4213234.02,"DKK","7.120000",29998226.22,0,29998226.22
2022,"Denmark","Lebanon",4213310.94,0,4213310.94,"DKK","7.120000",29998773.89,0,29998773.89
2022,"Denmark","Somalia",3834268.2,0,3834268.2,"DKK ","6.550000",25122125,0,25122125
2022,"Denmark","Syria",4915425.88,0,4915425.88,"DKK","7.120000",34997832.27,0,34997832.27
2022,"Denmark","Syria Cross border",5476911.94,0,5476911.94,"DKK","7.120000",39001089.92,0,39001089.92
2022,"Denmark","Ukraine",4509126.27,0,4509126.27,"DKK","6.650000",29999217.07,0,29999217.07
2022,"Denmark","Yemen",5336695.64,0,5336695.64,"DKK","7.120000",38002609.65,0,38002609.65
2022,"Estonia","Ukraine",194506.32,0,194506.32,"EUR","0.900000",175000,0,175000
2022,"Finland","Ukraine",0,8016032.06,8016032.06,"EUR","0.000000",0,8000000,8000000
2022,"France","Burkina Faso (RhPF)",525210.08,0,525210.08,"EUR","0.950000",500000,0,500000
2022,"France","Ethiopia",1050420.17,0,1050420.17,"EUR","0.950000",1000000,0,1000000
2022,"France","Lebanon",1050420.17,0,1050420.17,"EUR","0.950000",1000000,0,1000000
2022,"France","Niger (RhPF)",525210.08,0,525210.08,"EUR","0.950000",500000,0,500000
2022,"France","Syria Cross border",9617687.84,0,9617687.84,"EUR","0.940000",9000000,0,9000000
2022,"France","Ukraine",2111932.42,0,2111932.42,"EUR","0.950000",2000000,0,2000000
2022,"France","Yemen",1050420.17,0,1050420.17,"EUR","0.950000",1000000,0,1000000
2022,"Germany","Afghanistan",50291600,0,50291600,"EUR ","0.970000",48531394,0,48531394
2022,"Germany","CAR",7131439,0,7131439,"EUR ","0.950000",6806184,0,6806184
2022,"Germany","DRC",12157131.51,0,12157131.51,"EUR ","0.920000",11239803,0,11239803
2022,"Germany","Ethiopia",4481433.42,7772020.73,12253454.15,"EUR","0.890000",4000000,7500000,11500000
2022,"Germany","Myanmar",0,4145077.72,4145077.72,"EUR","0.000000",0,4000000,4000000
2022,"Germany","Niger (RhPF)",4409466.27,2072538.86,6482005.13,"EUR","0.910000",4000000,2000000,6000000
2022,"Germany","Nigeria",1686597.29,4145077.72,5831675.01,"EUR","0.890000",1500000,4000000,5500000
2022,"Germany","oPt",2247191.01,4145077.72,6392268.73,"EUR","0.890000",2000000,4000000,6000000
2022,"Germany","Somalia",0,3006012.02,3006012.02,"","0.000000",0,3000000,3000000
2022,"Germany","Somalia",11336647,0,11336647,"EUR ","0.940000",10712856,0,10712856
2022,"Germany","South Sudan",0,1002004.01,1002004.01,"","0.000000",0,1000000,1000000
2022,"Germany","South Sudan",9143105,0,9143105,"EUR ","0.960000",8747442,0,8747442
2022,"Germany","Sudan",9691655.5,0,9691655.5,"EUR ","0.950000",9238943,0,9238943
2022,"Germany","Syria Cross border",24477356.06,0,24477356.06,"EUR","0.920000",22500000,0,22500000
2022,"Germany","Ukraine",18538249.01,10362694.3,28900943.310000002,"EUR","0.920000",17000000,10000000,27000000
2022,"Germany","Venezuela",0,3108808.29,3108808.29,"EUR","0.000000",0,3000000,3000000
2022,"Greece","Yemen",0,31678.99,31678.99,"EUR","0.000000",0,30000,30000
2022,"Guyana","Afghanistan",25000,0,25000,"USD ","1.000000",25000,0,25000
2022,"Guyana","Yemen",50000,0,50000,"USD","1.000000",50000,0,50000
2022,"Iceland","Afghanistan",308190.15,0,308190.15,"ISK ","128.020000",39454503,0,39454503
2022,"Iceland","Lebanon",194507.12,0,194507.12,"ISK","128.530000",25000000.13,0,25000000.13
2022,"Iceland","Niger (RhPF)",0,176516.27,176516.27,"ISK","0.000000",0,25000000,25000000
2022,"Iceland","oPt",192618.85,0,192618.85,"ISK","129.790000",25000000.54,0,25000000.54
2022,"Iceland","Syria",194643.41,0,194643.41,"ISK","128.440000",24999999.58,0,24999999.58
2022,"Iceland","Ukraine",531063.29,0,531063.29,"ISK","131.810000",69999829.55,0,69999829.55
2022,"Iceland","Yemen",194386.13,0,194386.13,"ISK","128.610000",25000000.18,0,25000000.18
2022,"Ireland","Afghanistan",1584000,0,1584000,"EUR ","0.950000",1507968,0,1507968
2022,"Ireland","CAR",2624250,0,2624250,"EUR ","0.950000",2490413,0,2490413
2022,"Ireland","DRC",2537500,0,2537500,"EUR ","1.000000",2527350,0,2527350
2022,"Ireland","Ethiopia",6322444.68,0,6322444.68,"EUR","0.950000",6000000,0,6000000
2022,"Ireland","Iraq",1095290.25,0,1095290.25,"EUR","0.910000",1000000,0,1000000
2022,"Ireland","Lebanon",2111932.42,0,2111932.42,"EUR","0.950000",2000000,0,2000000
2022,"Ireland","Nigeria",1002004.01,0,1002004.01,"EUR","1.000000",1000000,0,1000000
2022,"Ireland","oPt",315126.05,0,315126.05,"EUR","0.950000",300000,0,300000
2022,"Ireland","Somalia",3309591,0,3309591,"EUR ","0.900000",2965394,0,2965394
2022,"Ireland","South Sudan",2754241,0,2754241,"EUR ","0.910000",2514622,0,2514622
2022,"Ireland","Sudan",3305091,0,3305091,"EUR ","0.910000",3017548,0,3017548
2022,"Ireland","Syria Cross border",2738225.63,0,2738225.63,"EUR","0.910000",2500000,0,2500000
2022,"Ireland","Ukraine",3285870.76,0,3285870.76,"EUR","0.910000",3000000,0,3000000
2022,"Ireland","Yemen",5580357.14,0,5580357.14,"EUR","0.900000",5000000,0,5000000
2022,"Italy","Ethiopia",2072538.86,0,2072538.86,"EUR","0.970000",2000000,0,2000000
2022,"Italy","oPt",547645.13,0,547645.13,"EUR","0.910000",500000,0,500000
2022,"Italy","Ukraine",6571741.51,0,6571741.51,"EUR","0.910000",6000000,0,6000000
2022,"Japan","Iraq",280596,0,280596,"USD","1.000000",280596,0,280596
2022,"Japan","Syria",200673,0,200673,"USD","1.000000",200673,0,200673
2022,"Japan","Ukraine",4500000,0,4500000,"USD","1.000000",4500000,0,4500000
