Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2016,"Australia","Afghanistan",5848785.38,0,5848785.38,"AUD ","1.310000",7679455,0,7679455
2016,"Australia","Ethiopia",3160012.13,0,3160012.13,"AUD","1.330000",4215456.18,0,4215456.18
2016,"Australia","Iraq",1518213.43,0,1518213.43,"AUD","1.320000",1999487.09,0,1999487.09
2016,"Australia","Myanmar",1101920.11,0,1101920.11,"AUD","1.360000",1499713.27,0,1499713.27
2016,"Australia","Somalia",1491997.61,0,1491997.61,"AUD ","1.350000",2015689,0,2015689
2016,"Australia","South Sudan",2237996.42,0,2237996.42,"AUD ","1.350000",3023533,0,3023533
2016,"Belgium","CAR",4435023.43,0,4435023.43,"EUR ","0.900000",3973110,0,3973110
2016,"Belgium","DRC",5543779.29,0,5543779.29,"EUR ","0.900000",4966387,0,4966387
2016,"Belgium","Iraq",3311258.28,0,3311258.28,"EUR","0.910000",3000000,0,3000000
2016,"Belgium","Jordan",5918827.51,0,5918827.51,"EUR","0.890000",5250000,0,5250000
2016,"Belgium","Lebanon",6482525.37,0,6482525.37,"EUR","0.890000",5750000,0,5750000
2016,"Belgium","oPt",2818489.29,0,2818489.29,"EUR","0.890000",2500000,0,2500000
2016,"Belgium","South Sudan",2261200,0,2261200,"EUR ","0.900000",2023774,0,2023774
2016,"Belgium","Syria",6482525.37,0,6482525.37,"EUR","0.890000",5750000,0,5750000
2016,"Belgium","Syria Cross border",5777903.04,0,5777903.04,"EUR","0.890000",5125000,0,5125000
2016,"Canada","CAR",390228.67,0,390228.67,"CAD ","1.300000",506517,0,506517
2016,"Canada","Iraq",374930.36,0,374930.36,"CAD","1.330000",500157.09,0,500157.09
2016,"Canada","South Sudan",782350.18,0,782350.18,"CAD ","1.300000",1015491,0,1015491
2016,"Canada","Yemen",3810104.4,0,3810104.4,"CAD","1.310000",4998856.97,0,4998856.97
2016,"Cyprus","Iraq",10615.71,0,10615.71,"EUR","0.940000",10000,0,10000
2016,"Denmark","Afghanistan",4291119.9,0,4291119.9,"DKK ","7.030000",30153936,0,30153936
2016,"Denmark","CAR",2869852.2,0,2869852.2,"DKK ","7.100000",20384560,0,20384560
2016,"Denmark","Ethiopia",1493988.76,0,1493988.76,"DKK","6.690000",9999266.77,0,9999266.77
2016,"Denmark","Iraq",3553457.72,0,3553457.72,"DKK","7.030000",24998575.06,0,24998575.06
2016,"Denmark","Myanmar",1421326.93,0,1421326.93,"DKK","7.040000",10000456.28,0,10000456.28
2016,"Denmark","Somalia",6785323.51,0,6785323.51,"DKK ","7.020000",47609554,0,47609554
2016,"Denmark","South Sudan",2896787.46,0,2896787.46,"DKK ","6.880000",19924104,0,19924104
2016,"Denmark","Sudan",5264415.53,0,5264415.53,"DKK ","6.980000",36741366,0,36741366
