Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2020,"Australia","Afghanistan",5864836.66,0,5864836.66,"AUD ","1.570000",9210832,0,9210832
2020,"Australia","Myanmar",4234529.29,0,4234529.29,"AUD","1.570000",6648210.99,0,6648210.99
2020,"Australia","Somalia",1306308.94,0,1306308.94,"AUD ","1.570000",2052211,0,2052211
2020,"Australia","South Sudan",2522590.58,0,2522590.58,"AUD ","1.630000",4101732,0,4101732
2020,"Azerbaijan","Yemen",25000,0,25000,"USD","1.000000",25000,0,25000
2020,"Belgium","DRC",10031470.51,0,10031470.51,"EUR ","0.850000",8526750,0,8526750
2020,"Belgium","Iraq",4343105.32,0,4343105.32,"EUR","0.920000",4000000,0,4000000
2020,"Belgium","Lebanon",5109272.99,0,5109272.99,"EUR","0.880000",4500000,0,4500000
2020,"Belgium","Nigeria",5428881.65,0,5428881.65,"EUR","0.920000",5000000,0,5000000
2020,"Belgium","oPt",4343105.32,0,4343105.32,"EUR","0.920000",4000000,0,4000000
2020,"Belgium","South Sudan",2360346,0,2360346,"EUR ","0.850000",2006294,0,2006294
2020,"Belgium","Syria",7600434.31,0,7600434.31,"EUR","0.920000",7000000,0,7000000
2020,"Belgium","Syria Cross border",7600434.31,0,7600434.31,"EUR","0.920000",7000000,0,7000000
2020,"Belgium","Yemen",5428881.65,0,5428881.65,"EUR","0.920000",5000000,0,5000000
2020,"Bulgaria","Ukraine",54288.82,0,54288.82,"EUR","0.920000",50000,0,50000
2020,"Bulgaria","Yemen",54288.82,0,54288.82,"EUR","0.920000",50000,0,50000
2020,"Canada","Afghanistan",2743088.93,0,2743088.93,"CAD ","1.380000",3779977,0,3779977
2020,"Canada","CAR",1445082.6,0,1445082.6,"CAD ","1.380000",1991324,0,1991324
2020,"Canada","DRC",4575743.65,0,4575743.65,"CAD ","1.340000",6128457,0,6128457
2020,"Canada","Ethiopia",2891478.58,0,2891478.58,"CAD","1.350000",3900226.86,0,3900226.86
2020,"Canada","Iraq",746580.87,0,746580.87,"CAD","1.340000",999996.01,0,999996.01
2020,"Canada","Jordan",734873.73,0,734873.73,"CAD","1.360000",1000163.15,0,1000163.15
2020,"Canada","Myanmar",1503930.97,0,1503930.97,"CAD","1.400000",2099687.72,0,2099687.72
2020,"Canada","Nigeria",644281.67,0,644281.67,"CAD","1.400000",899976.75,0,899976.75
2020,"Canada","Pakistan",712877.56,0,712877.56,"CAD","1.400000",1000167.22,0,1000167.22
2020,"Canada","Somalia",2507032.01,0,2507032.01,"CAD ","1.380000",3454690,0,3454690
2020,"Canada","South Sudan",1444226.59,0,1444226.59,"CAD ","1.380000",1990144,0,1990144
2020,"Canada","Sudan",1731531.11,0,1731531.11,"CAD ","1.380000",2386050,0,2386050
2020,"Canada","Syria",5181460.53,0,5181460.53,"CAD","1.340000",6924439.79,0,6924439.79
2020,"Canada","Syria Cross border",2612314.49,0,2612314.49,"CAD","1.330000",3474378.27,0,3474378.27
2020,"Canada","Ukraine",996524.99,0,996524.99,"CAD","1.400000",1400114.6,0,1400114.6
2020,"Canada","Venezuela",1092663.39,0,1092663.39,"CAD","1.280000",1399701.8,0,1399701.8
2020,"Canada","Yemen",4979937.96,0,4979937.96,"CAD","1.410000",7001792.77,0,7001792.77
2020,"Cyprus","Jordan",12500,0,12500,"EUR","0.920000",11512.5,0,11512.5
2020,"Cyprus","Lebanon",12500,0,12500,"EUR","0.920000",11512.5,0,11512.5
2020,"Cyprus","oPt",24400,0,24400,"EUR","0.880000",21508.5,0,21508.5
2020,"Cyprus","Syria",12500,0,12500,"EUR","0.920000",11512.5,0,11512.5
2020,"Cyprus","Yemen",28441.41,0,28441.41,"EUR","0.880000",25000,0,25000
2020,"Denmark","Ethiopia",3282575.96,0,3282575.96,"DKK","6.090000",20000735.32,0,20000735.32
2020,"Denmark","Lebanon",2280211.06,0,2280211.06,"DKK","6.580000",14999228.35,0,14999228.35
2020,"Denmark","Somalia",2979554.45,0,2979554.45,"DKK ","6.690000",19927260,0,19927260
2020,"Denmark","South Sudan",4462703.18,0,4462703.18,"DKK ","6.690000",29846559,0,29846559
2020,"Denmark","Sudan",2172063.64,0,2172063.64,"DKK ","6.780000",14720075,0,14720075
2020,"Denmark","Syria",4560302.06,0,4560302.06,"DKK","6.580000",30002227.25,0,30002227.25
2020,"Denmark","Syria Cross border",9085481.22,0,9085481.22,"DKK","6.600000",59996839.15,0,59996839.15
2020,"Denmark","Yemen",5699282.24,0,5699282.24,"DKK","6.140000",34999292.24,0,34999292.24
2020,"Estonia","Sudan",181391.3,0,181391.3,"EUR ","0.840000",152120,0,152120
2020,"Estonia","Ukraine",54585.15,0,54585.15,"EUR","0.920000",50000,0,50000
2020,"European Commission","South Sudan",3301500,0,3301500,"EUR ","0.900000",2958144,0,2958144
2020,"European Commission","Ukraine",1118900,0,1118900,"EUR","0.890000",1000296.6,0,1000296.6
2020,"Finland","oPt",1194743.13,0,1194743.13,"EUR","0.840000",1000000,0,1000000
2020,"France","Syria Cross border",12937555.15,0,12937555.15,"EUR","0.880000",11335000,0,11335000
2020,"Germany","Afghanistan",5038556,0,5038556,"EUR ","0.890000",4478392,0,4478392
2020,"Germany","CAR",11340948.5,0,11340948.5,"EUR ","0.880000",9933826,0,9933826
2020,"Germany","DRC",13067141.5,0,13067141.5,"EUR ","0.880000",11524964,0,11524964
2020,"Germany","Ethiopia",19506868.17,0,19506868.17,"EUR","0.870000",17000000,0,17000000
2020,"Germany","Iraq",9563069.63,0,9563069.63,"EUR","0.890000",8500000,0,8500000
2020,"Germany","Jordan",3377096.16,0,3377096.16,"EUR","0.890000",3000000,0,3000000
2020,"Germany","Lebanon",6903254.12,0,6903254.12,"EUR","0.870000",6000000,0,6000000
2020,"Germany","Myanmar",1671934.58,0,1671934.58,"EUR","0.900000",1500000,0,1500000
2020,"Germany","Nigeria",12327467.93,0,12327467.93,"EUR","0.890000",11000000,0,11000000
2020,"Germany","oPt",13822511.1,0,13822511.1,"EUR","0.900000",12500000,0,12500000
2020,"Germany","Pakistan",3459465.36,0,3459465.36,"EUR","0.870000",3000000,0,3000000
2020,"Germany","Somalia",16149152,0,16149152,"EUR ","0.860000",13945090,0,13945090
2020,"Germany","South Sudan",16442217.51,0,16442217.51,"EUR ","0.880000",14410448,0,14410448
2020,"Germany","Sudan",12619019.51,0,12619019.51,"EUR ","0.880000",11046113,0,11046113
2020,"Germany","Syria",2825219.78,0,2825219.78,"EUR","0.880000",2500000,0,2500000
2020,"Germany","Syria Cross border",45053929.45,0,45053929.45,"EUR","0.890000",40000000,0,40000000
2020,"Germany","Ukraine",4499201.71,0,4499201.71,"EUR","0.890000",4000000,0,4000000
2020,"Germany","Yemen",26658767.77,0,26658767.77,"EUR","0.840000",22500000,0,22500000
2020,"Greece","Yemen",35049.07,0,35049.07,"EUR","0.860000",30002,0,30002
2020,"Iceland","Afghanistan",235183.44,0,235183.44,"ISK ","133.070000",31295860,0,31295860
2020,"Iceland","Lebanon",349361.45,0,349361.45,"ISK","128.810000",44999999.69,0,44999999.69
2020,"Iceland","oPt",169998.64,0,169998.64,"ISK","147.060000",25000000,0,25000000
2020,"Iceland","Syria",202183.59,0,202183.59,"ISK","123.650000",25000000.29,0,25000000.29
2020,"Ireland","Afghanistan",531776,0,531776,"EUR ","0.920000",487107,0,487107
2020,"Ireland","CAR",3230376,0,3230376,"EUR ","0.910000",2929951,0,2929951
2020,"Ireland","DRC",3190776,0,3190776,"EUR ","0.920000",2922751,0,2922751
2020,"Ireland","Ethiopia",4305841.97,0,4305841.97,"EUR","0.890000",3830000,0,3830000
2020,"Ireland","Iraq",1102535.83,0,1102535.83,"EUR","0.910000",1000000,0,1000000
2020,"Ireland","Lebanon",2533611.94,0,2533611.94,"EUR","0.890000",2250000,0,2250000
2020,"Ireland","Nigeria",1091703.06,0,1091703.06,"EUR","0.920000",1000000,0,1000000
2020,"Ireland","oPt",444469.98,0,444469.98,"EUR","0.900000",400000,0,400000
2020,"Ireland","Somalia",3204276,0,3204276,"EUR ","0.920000",2935117,0,2935117
