Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2013,"African Union","Somalia",1999978,0,1999978,"USD ","1.000000",1999978,0,1999978
2013,"Australia","DRC",2049400,0,2049400,"AUD ","0.970000",1983819,0,1983819
2013,"Australia","Somalia",3689200,0,3689200,"AUD ","1.070000",3954822,0,3954822
2013,"Australia","South Sudan",4816300,0,4816300,"AUD ","1.030000",4949936,0,4949936
2013,"Belgium","DRC",9306400,0,9306400,"EUR ","0.750000",6965225,0,6965225
2013,"Denmark","Somalia",3553218.33,0,3553218.33,"DKK ","5.620000",19965534,0,19965534
2013,"Denmark","South Sudan",7054289.98,0,7054289.98,"DKK ","5.690000",40136478,0,40136478
2013,"Denmark","Sudan",3575898.44,0,3575898.44,"DKK ","5.620000",20092973,0,20092973
2013,"Denmark","Yemen",3624619.94,0,3624619.94,"DKK","5.520000",19999786.47,0,19999786.47
2013,"Finland","Somalia",3895200,0,3895200,"EUR ","0.760000",2975933,0,2975933
2013,"Germany","oPt",402178.71,0,402178.71,"EUR","0.750000",300000,0,300000
2013,"Germany","Somalia",1320150,0,1320150,"EUR ","0.750000",984915,0,984915
2013,"Iceland","oPt",200000,0,200000,"ISK","123.340000",24667000,0,24667000
2013,"Indonesia","Syria",499111.38,0,499111.38,"USD","1.000000",500109.6,0,500109.6
2013,"Ireland","CAR",2603140,0,2603140,"EUR ","0.750000",1962382,0,1962382
2013,"Ireland","DRC",4987440,0,4987440,"EUR ","0.760000",3765888,0,3765888
2013,"Ireland","Ethiopia",663129.97,0,663129.97,"EUR","0.750000",500000,0,500000
2013,"Ireland","oPt",137741.05,0,137741.05,"EUR","0.730000",100000,0,100000
2013,"Ireland","Somalia",4580190,0,4580190,"EUR ","0.760000",3470225,0,3470225
2013,"Ireland","South Sudan",3213040,0,3213040,"EUR ","0.770000",2477964,0,2477964
2013,"Ireland","Sudan",3213040,0,3213040,"EUR ","0.770000",2477964,0,2477964
2013,"Ireland","Yemen",261780.1,0,261780.1,"EUR","0.760000",200000,0,200000
2013,"Luxembourg","DRC",327350,0,327350,"EUR ","0.780000",256315,0,256315
2013,"Netherlands","CAR",2500000,0,2500000,"USD ","1.000000",2500000,0,2500000
2013,"Netherlands","DRC",1875000,0,1875000,"USD ","1.000000",1875000,0,1875000
2013,"Netherlands","Ethiopia",1250000,0,1250000,"USD","1.000000",1250000,0,1250000
2013,"Netherlands","Somalia",1562500,0,1562500,"USD ","1.000000",1562500,0,1562500
2013,"Netherlands","South Sudan",5000000,0,5000000,"USD ","1.000000",5000000,0,5000000
2013,"Netherlands","Sudan",2250000,0,2250000,"USD ","1.000000",2250000,0,2250000
2013,"Norway","Colombia",497993.17,0,497993.17,"NOK","6.020000",2999910.86,0,2999910.86
2013,"Norway","DRC",6842006.85,0,6842006.85,"NOK ","5.910000",40414161,0,40414161
2013,"Norway","Ethiopia",829988.62,0,829988.62,"NOK","6.020000",4999851.44,0,4999851.44
2013,"Norway","oPt",1614481.51,0,1614481.51,"NOK","6.190000",10000098.47,0,10000098.47
2013,"Norway","Pakistan",1681908.97,0,1681908.97,"NOK","5.950000",10000630.74,0,10000630.74
2013,"Norway","South Sudan",8547008.55,0,8547008.55,"NOK ","5.850000",50000000,0,50000000
2013,"Norway","Sudan",10328266.74,0,10328266.74,"NOK ","5.810000",60058871,0,60058871
2013,"Norway","Yemen",1614481.51,0,1614481.51,"NOK","6.190000",10000098.47,0,10000098.47
2013,"PRIVATE SECTOR","Haiti",200,0,200,"USD","1.000000",200,0,200
2013,"Spain","Colombia",662251.66,0,662251.66,"EUR","0.750000",500000,0,500000
2013,"Spain","Haiti",331125.83,0,331125.83,"EUR","0.750000",250000,0,250000
2013,"Spain","oPt",397350.99,0,397350.99,"EUR","0.760000",300000,0,300000
2013,"Sweden","CAR",4495547.91,0,4495547.91,"SEK ","6.540000",29414869,0,29414869
2013,"Sweden","Colombia",611192.69,0,611192.69,"SEK","6.540000",4000256.15,0,4000256.15
2013,"Sweden","DRC",12335973.58,0,12335973.58,"SEK ","6.410000",79085927,0,79085927
2013,"Sweden","Ethiopia",1515399.95,0,1515399.95,"SEK","6.600000",10000124.26,0,10000124.26
2013,"Sweden","Haiti",757699.97,0,757699.97,"SEK","6.600000",5000062.13,0,5000062.13
2013,"Sweden","Myanmar",757699.97,0,757699.97,"SEK","6.600000",5000062.13,0,5000062.13
2013,"Sweden","oPt",458394.52,0,458394.52,"SEK","6.540000",3000192.11,0,3000192.11
2013,"Sweden","Pakistan",3807372.53,0,3807372.53,"SEK","6.570000",25001084.81,0,25001084.81
2013,"Sweden","Somalia",9805303.09,0,9805303.09,"SEK ","6.660000",65350945,0,65350945
2013,"Sweden","South Sudan",13997672.4,0,13997672.4,"SEK ","6.510000",91054859,0,91054859
2013,"Sweden","Sudan",14516297.42,0,14516297.42,"SEK ","6.540000",94890500,0,94890500
2013,"Sweden","Yemen",2291972.58,0,2291972.58,"SEK","6.550000",15000960.55,0,15000960.55
2013,"Switzerland","Ethiopia",1294787.63,0,1294787.63,"CHF","0.930000",1200000,0,1200000
2013,"Switzerland","oPt",2375422.77,0,2375422.77,"CHF","0.890000",2107000,0,2107000
2013,"Switzerland","Somalia",532708.29,0,532708.29,"CHF ","0.960000",509269,0,509269
2013,"United Kingdom","DRC",33292000,0,33292000,"GBP ","0.640000",21388504,0,21388504
2013,"United Kingdom","Ethiopia",9463722.4,0,9463722.4,"GBP","0.630000",6000000,0,6000000
2013,"United Kingdom","Haiti",1908396.95,0,1908396.95,"GBP","0.650000",1250000,0,1250000
2013,"United Kingdom","Pakistan",4651162.79,0,4651162.79,"GBP","0.650000",3000000,0,3000000
2013,"United Kingdom","Somalia",28977300,0,28977300,"GBP ","0.620000",17863432,0,17863432
2013,"United Kingdom","South Sudan",77014064.18,0,77014064.18,"GBP ","0.640000",49254885,0,49254885
2013,"United Kingdom","Sudan",37239200,0,37239200,"GBP ","0.650000",24033656,0,24033656
2013,"United Kingdom","Yemen",3826632.31,0,3826632.31,"GBP","0.650000",2500000,0,2500000
