Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2017,"AGFUND","Somalia",25000,0,25000,"USD ","1.000000",25000,0,25000
2017,"AGFUND","South Sudan",24965,0,24965,"USD ","1.000000",24965,0,24965
2017,"Australia","Afghanistan",6103184.74,0,6103184.74,"AUD ","1.320000",8080617,0,8080617
2017,"Australia","Myanmar",2258696.44,0,2258696.44,"AUD","1.330000",2999548.87,0,2999548.87
2017,"Australia","Somalia",7355825.28,0,7355825.28,"AUD ","1.300000",9573445,0,9573445
2017,"Australia","South Sudan",7684563.27,0,7684563.27,"AUD ","1.310000",10089760,0,10089760
2017,"Azerbaijan","Nigeria",12500,0,12500,"USD","1.000000",12500,0,12500
2017,"Azerbaijan","Somalia",12500,0,12500,"USD ","1.000000",12500,0,12500
2017,"Azerbaijan","South Sudan",12500,0,12500,"USD ","1.000000",12500,0,12500
2017,"Azerbaijan","Yemen",12500,0,12500,"USD","1.000000",12500,0,12500
2017,"Belgium","CAR",1796400,0,1796400,"EUR ","0.850000",1521551,0,1521551
2017,"Belgium","DRC",3592800,0,3592800,"EUR ","0.850000",3043102,0,3043102
2017,"Belgium","Iraq",6739443.43,0,6739443.43,"EUR","0.890000",6000000,0,6000000
2017,"Belgium","Jordan",1768867.92,0,1768867.92,"EUR","0.850000",1500000,0,1500000
2017,"Belgium","Lebanon",1768867.92,0,1768867.92,"EUR","0.850000",1500000,0,1500000
2017,"Belgium","Nigeria",2358490.57,0,2358490.57,"EUR","0.850000",2000000,0,2000000
2017,"Belgium","oPt",2830188.68,0,2830188.68,"EUR","0.850000",2400000,0,2400000
2017,"Belgium","South Sudan",4790400,0,4790400,"EUR ","0.850000",4057469,0,4057469
2017,"Belgium","Syria",8549528.3,0,8549528.3,"EUR","0.850000",7250000,0,7250000
