Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2015,"Australia","Afghanistan",6143578.23,0,6143578.23,"AUD ","1.310000",8035114,0,8035114
2015,"Australia","Myanmar",1127385.05,0,1127385.05,"AUD","1.330000",1500116.69,0,1500116.69
2015,"Australia","Somalia",3594485.62,0,3594485.62,"AUD ","1.390000",4992741,0,4992741
2015,"Australia","South Sudan",7395964.49,0,7395964.49,"AUD ","1.380000",10240609,0,10240609
2015,"Belgium","Jordan",5745097.47,0,5745097.47,"EUR","0.910000",5250000,0,5250000
2015,"Belgium","Lebanon",6304381.59,0,6304381.59,"EUR","0.910000",5750000,0,5750000
2015,"Belgium","oPt",2796420.58,0,2796420.58,"EUR","0.890000",2500000,0,2500000
2015,"Belgium","South Sudan",2205832,0,2205832,"EUR ","0.910000",2018336,0,2018336
2015,"Belgium","Syria",6304381.59,0,6304381.59,"EUR","0.910000",5750000,0,5750000
2015,"Belgium","Syria Cross border",5558568.33,0,5558568.33,"EUR","0.920000",5125000,0,5125000
2015,"Denmark","Afghanistan",3116235.59,0,3116235.59,"DKK ","6.330000",19713306,0,19713306
2015,"Denmark","CAR",1494985.3,0,1494985.3,"DKK ","6.750000",10085171,0,10085171
2015,"Denmark","Ethiopia",2928684.34,0,2928684.34,"DKK","6.830000",19999985.38,0,19999985.38
2015,"Denmark","Lebanon",741179.96,0,741179.96,"DKK","6.750000",5000000.01,0,5000000.01
2015,"Denmark","Somalia",6948397.58,0,6948397.58,"DKK ","6.420000",44583457,0,44583457
2015,"Denmark","South Sudan",2985306.32,0,2985306.32,"DKK ","6.750000",20138876,0,20138876
2015,"Denmark","Sudan",5271674.72,0,5271674.72,"DKK ","6.670000",35155947,0,35155947
2015,"Denmark","Yemen",3009905.62,0,3009905.62,"DKK","6.640000",19999314.17,0,19999314.17
2015,"France","Syria Cross border",552486.19,0,552486.19,"EUR","0.900000",500000,0,500000
2015,"Germany","Afghanistan",1070300,0,1070300,"EUR ","0.910000",976114,0,976114
2015,"Germany","Iraq",5538076.58,0,5538076.58,"EUR","0.900000",5000000,0,5000000
2015,"Germany","oPt",1639344.26,0,1639344.26,"EUR","0.920000",1500000,0,1500000
2015,"Germany","Somalia",1091580,0,1091580,"EUR ","0.920000",1007528,0,1007528
2015,"Germany","South Sudan",1091580,0,1091580,"EUR ","0.920000",1007528,0,1007528
2015,"Germany","Sudan",1091580,0,1091580,"EUR ","0.920000",1007528,0,1007528
2015,"Germany","Syria",1096491.23,0,1096491.23,"EUR","0.910000",1000000,0,1000000
2015,"Germany","Yemen",1118568.23,0,1118568.23,"EUR","0.890000",1000000,0,1000000
2015,"Iceland","Lebanon",750000,0,750000,"ISK","129.330000",96997500,0,96997500
2015,"India","Syria",1000000,0,1000000,"USD","1.000000",1000000,0,1000000
2015,"Ireland","CAR",3255570,0,3255570,"EUR ","0.940000",3070003,0,3070003
2015,"Ireland","DRC",3258270,0,3258270,"EUR ","0.910000",2965026,0,2965026
2015,"Ireland","Ethiopia",4088302.73,0,4088302.73,"EUR","0.930000",3800000,0,3800000
2015,"Ireland","Iraq",1096491.23,0,1096491.23,"EUR","0.910000",1000000,0,1000000
2015,"Ireland","oPt",221238.94,0,221238.94,"EUR","0.900000",200000,0,200000
2015,"Ireland","Somalia",3274140,0,3274140,"EUR ","0.910000",2972844,0,2972844
2015,"Ireland","South Sudan",3255570,0,3255570,"EUR ","0.920000",3004891,0,3004891
2015,"Ireland","Sudan",2712840,0,2712840,"EUR ","0.920000",2489846,0,2489846
2015,"Ireland","Syria Cross border",1096491.23,0,1096491.23,"EUR","0.910000",1000000,0,1000000
2015,"Ireland","Yemen",1710741.05,0,1710741.05,"EUR","0.880000",1500000,0,1500000
2015,"Italy","South Sudan",550665.01,0,550665.01,"EUR ","0.890000",490643,0,490643
2015,"Korea, Republic of","Afghanistan",200000,0,200000,"USD ","1.000000",200000,0,200000
2015,"Korea, Republic of","Syria",500000,0,500000,"USD","1.000000",500000,0,500000
2015,"Korea, Republic of","Yemen",200000,0,200000,"USD","1.000000",200000,0,200000
2015,"Kuwait","Syria",2500000,0,2500000,"USD","1.000000",2500000,0,2500000
2015,"Luxembourg","CAR",281452.75,0,281452.75,"EUR ","0.920000",258374,0,258374
2015,"Luxembourg","DRC",264450,0,264450,"EUR ","0.940000",249376,0,249376
2015,"Luxembourg","Syria",281375,0,281375,"EUR","0.890000",249861,0,249861
2015,"Malaysia","Syria",500000,0,500000,"USD","1.000000",500000,0,500000
2015,"Netherlands","CAR",4429852,0,4429852,"EUR ","0.900000",4004586,0,4004586
2015,"Netherlands","DRC",2232000,0,2232000,"EUR ","0.920000",2060136,0,2060136
2015,"Netherlands","Ethiopia",5291005.29,0,5291005.29,"EUR","0.950000",5000000,0,5000000
2015,"Netherlands","Iraq",20672683.18,0,20672683.18,"EUR","0.910000",18750000,0,18750000
2015,"Netherlands","Jordan",3174603.17,0,3174603.17,"EUR","0.950000",3000000,0,3000000
2015,"Netherlands","Lebanon",10317460.32,0,10317460.32,"EUR","0.940000",9750000,0,9750000
2015,"Netherlands","South Sudan",5346500,0,5346500,"EUR ","0.920000",4934820,0,4934820
2015,"Netherlands","Sudan",2218734,0,2218734,"EUR ","0.890000",1972455,0,1972455
2015,"Netherlands","Syria",10553728.07,0,10553728.07,"EUR","0.910000",9625000,0,9625000
2015,"Netherlands","Syria Cross border",31661184.21,0,31661184.21,"EUR","0.910000",28875000,0,28875000
2015,"Netherlands","Yemen",13202048.75,0,13202048.75,"EUR","0.910000",12000000,0,12000000
2015,"Norway","Afghanistan",1147927.18,0,1147927.18,"NOK ","7.850000",9012376,0,9012376
2015,"Norway","CAR",742746.11,0,742746.11,"NOK ","8.070000",5991733,0,5991733
2015,"Norway","DRC",1237910.18,0,1237910.18,"NOK ","8.070000",9986221,0,9986221
2015,"Norway","oPt",593264.61,0,593264.61,"NOK","8.430000",5000034.13,0,5000034.13
2015,"Norway","South Sudan",9074470.1,0,9074470.1,"NOK ","8.100000",73507182,0,73507182
2015,"Norway","Sudan",6622430.6,0,6622430.6,"NOK ","7.560000",50078820,0,50078820
2015,"Norway","Syria",2895537.03,0,2895537.03,"NOK","7.940000",22999783.31,0,22999783.31
2015,"Norway","Syria Cross border",1477428.58,0,1477428.58,"NOK","8.120000",11999674.95,0,11999674.95
2015,"Spain","Colombia",655737.7,0,655737.7,"EUR","0.920000",600000,0,600000
2015,"Spain","oPt",546448.09,0,546448.09,"EUR","0.910000",500000,0,500000
2015,"Spain","Syria",546448.09,0,546448.09,"EUR","0.910000",500000,0,500000
2015,"Spain","Syria Cross border",546448.09,0,546448.09,"EUR","0.910000",500000,0,500000
2015,"Sweden","Afghanistan",8073705.23,0,8073705.23,"SEK ","8.610000",69530749,0,69530749
2015,"Sweden","CAR",2421115.14,0,2421115.14,"SEK ","8.510000",20596427,0,20596427
2015,"Sweden","Colombia",477042.34,0,477042.34,"SEK","8.380000",4000000,0,4000000
2015,"Sweden","DRC",9912246.17,0,9912246.17,"SEK ","8.600000",85215118,0,85215118
2015,"Sweden","Ethiopia",706687.99,0,706687.99,"SEK","8.490000",5999781,0,5999781
2015,"Sweden","Haiti",596302.92,0,596302.92,"SEK","8.390000",5000000,0,5000000
2015,"Sweden","Iraq",943600.59,0,943600.59,"SEK","8.480000",7999845.8,0,7999845.8
2015,"Sweden","Jordan",1713153.06,0,1713153.06,"SEK","8.760000",15000368.17,0,15000368.17
