Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2012,"Australia","Myanmar",1047200,0,1047200,"AUD","0.960000",1000076,0,1000076
2012,"Australia","Somalia",9154900,0,9154900,"AUD ","0.990000",9101035,0,9101035
2012,"Australia","South Sudan",9345700,0,9345700,"AUD ","0.950000",8889639,0,8889639
2012,"Australia","Sudan",2121600,0,2121600,"AUD ","0.930000",1975210,0,1975210
2012,"Belgium","DRC",5222400,0,5222400,"EUR ","0.770000",4042138,0,4042138
2012,"Denmark","Ethiopia",902391.08,0,902391.08,"DKK","5.540000",5000148.97,0,5000148.97
2012,"Denmark","oPt",1082836.48,0,1082836.48,"DKK","5.540000",5999996.94,0,5999996.94
2012,"Denmark","Somalia",5332480.14,0,5332480.14,"DKK ","5.680000",30261825,0,30261825
2012,"Denmark","South Sudan",5123825.79,0,5123825.79,"DKK ","5.620000",28775406,0,28775406
2012,"Denmark","Sudan",6711027.33,0,6711027.33,"DKK ","5.800000",38901743,0,38901743
2012,"Denmark","Yemen",1727782.99,0,1727782.99,"DKK","5.790000",10000407.95,0,10000407.95
2012,"Finland","Somalia",3990600,0,3990600,"EUR ","0.750000",2976988,0,2976988
2012,"Germany","Somalia",2529700,0,2529700,"EUR ","0.790000",2004113,0,2004113
2012,"Ireland","CAR",2465530.4,0,2465530.4,"EUR ","0.750000",1854846,0,1854846
2012,"Ireland","DRC",8904494.38,0,8904494.38,"EUR ","0.770000",6847654,0,6847654
2012,"Ireland","Ethiopia",1093026.15,0,1093026.15,"EUR","0.790000",859500,0,859500
2012,"Ireland","oPt",62735.26,0,62735.26,"EUR","0.800000",50000,0,50000
2012,"Ireland","Somalia",4291664.4,0,4291664.4,"EUR ","0.780000",3329365,0,3329365
2012,"Ireland","South Sudan",2918882.4,0,2918882.4,"EUR ","0.780000",2280777,0,2280777
2012,"Ireland","Sudan",2918882.4,0,2918882.4,"EUR ","0.780000",2280777,0,2280777
2012,"Ireland","Yemen",515841.69,0,515841.69,"EUR","0.780000",400000,0,400000
2012,"Korea, Republic of","Yemen",500000,0,500000,"USD","1.000000",500000,0,500000
2012,"Luxembourg","DRC",307425,0,307425,"EUR ","0.820000",250859,0,250859
2012,"Netherlands","Ethiopia",6428571,0,6428571,"EUR","0.820000",5245713.94,0,5245713.94
2012,"Netherlands","Somalia",8500000,0,8500000,"USD ","1.000000",8500000,0,8500000
2012,"Netherlands","South Sudan",20000000,0,20000000,"USD ","1.000000",20000000,0,20000000
2012,"Netherlands","Sudan",5000000,0,5000000,"USD ","1.000000",5000000,0,5000000
2012,"Norway","Colombia",533789.5,0,533789.5,"NOK","5.620000",2999896.99,0,2999896.99
2012,"Norway","DRC",8462089.49,0,8462089.49,"NOK ","5.870000",49681581,0,49681581
2012,"Norway","Ethiopia",820417.37,0,820417.37,"NOK","6.090000",4999623.45,0,4999623.45
2012,"Norway","Pakistan",874283.76,0,874283.76,"NOK","5.720000",5000028.82,0,5000028.82
2012,"Norway","Somalia",3474001.61,0,3474001.61,"NOK ","5.810000",20170053,0,20170053
2012,"Norway","South Sudan",12106629.98,0,12106629.98,"NOK ","5.630000",68105810,0,68105810
2012,"Norway","Sudan",10735343.05,0,10735343.05,"NOK ","5.590000",59978362,0,59978362
2012,"PRIVATE SECTOR","Haiti",302.04,0,302.04,"USD","1.000000",302.04,0,302.04
2012,"Spain","Colombia",649350.65,0,649350.65,"EUR","0.770000",500000,0,500000
2012,"Spain","DRC",3833100,0,3833100,"EUR ","0.770000",2959153,0,2959153
2012,"Spain","Ethiopia",649350.65,0,649350.65,"EUR","0.770000",500000,0,500000
2012,"Spain","oPt",649350.65,0,649350.65,"EUR","0.770000",500000,0,500000
2012,"Spain","Sudan",3833100,0,3833100,"EUR ","0.770000",2959153,0,2959153
2012,"Sweden","CAR",2918650.02,0,2918650.02,"SEK ","6.690000",19515311,0,19515311
2012,"Sweden","DRC",18752449.31,0,18752449.31,"SEK ","7.110000",133374328,0,133374328
2012,"Sweden","Ethiopia",4486132.26,0,4486132.26,"SEK","6.690000",29998766.42,0,29998766.42
2012,"Sweden","oPt",1131120,0,1131120,"SEK","7.070000",8000411.76,0,8000411.76
2012,"Sweden","Somalia",6852934.61,0,6852934.61,"SEK ","7.070000",48422836,0,48422836
2012,"Sweden","South Sudan",19082324.3,0,19082324.3,"SEK ","6.740000",128573250,0,128573250
2012,"Sweden","Sudan",15106524.99,0,15106524.99,"SEK ","6.990000",105526995,0,105526995
2012,"Sweden","Yemen",1498231.49,0,1498231.49,"SEK","6.680000",10000695.2,0,10000695.2
2012,"Switzerland","Ethiopia",619973.56,0,619973.56,"CHF","0.970000",600000,0,600000
2012,"Switzerland","oPt",539956.8,0,539956.8,"CHF","0.930000",500000,0,500000
2012,"Switzerland","Somalia",1801451.7,0,1801451.7,"CHF ","0.960000",1720598,0,1720598
2012,"Switzerland","Yemen",969599.85,0,969599.85,"CHF","0.930000",900000,0,900000
2012,"United Kingdom","DRC",44896950,0,44896950,"GBP ","0.630000",28488669,0,28488669
2012,"United Kingdom","Ethiopia",12558869.7,0,12558869.7,"GBP","0.640000",8000000,0,8000000
2012,"United Kingdom","Pakistan",4846526.66,0,4846526.66,"GBP","0.620000",3000000,0,3000000
2012,"United Kingdom","Somalia",25086400,0,25086400,"GBP ","0.640000",15980037,0,15980037
