Year,Donor Name,CBPF Name,Paid Amount,Pledged Amount,Total Contributions,Local Curency,Exchange Rate,Paid Amount (Local Currency),Pledged Amount (Local Currency),Total Contributions (Local Currency)
2021,"Australia","Afghanistan",1572815,0,1572815,"AUD ","1.290000",2024213,0,2024213
2021,"Australia","Myanmar",3859750.84,0,3859750.84,"AUD","1.300000",4998377.34,0,4998377.34
2021,"Azerbaijan","Burkina Faso (RhPF)",16666.67,0,16666.67,"USD","1.000000",16666.67,0,16666.67
2021,"Azerbaijan","Ethiopia",16666.67,0,16666.67,"USD","1.000000",16666.67,0,16666.67
2021,"Azerbaijan","Nigeria",16666.67,0,16666.67,"USD","1.000000",16666.67,0,16666.67
2021,"Azerbaijan","South Sudan",16666.67,0,16666.67,"USD ","1.000000",16667,0,16667
2021,"Azerbaijan","Yemen",46666.67,0,46666.67,"USD","1.000000",46666.67,0,46666.67
2021,"Belgium","Afghanistan",2262048,0,2262048,"EUR ","0.890000",2008699,0,2008699
2021,"Belgium","Burkina Faso (RhPF)",3537735.85,0,3537735.85,"EUR","0.850000",3000000,0,3000000
2021,"Belgium","DRC",10348724.5,0,10348724.5,"EUR ","0.820000",8485954,0,8485954
2021,"Belgium","Lebanon",8374552.28,0,8374552.28,"EUR","0.840000",7000000,0,7000000
2021,"Belgium","Nigeria",6097560.98,0,6097560.98,"EUR","0.820000",5000000,0,5000000
2021,"Belgium","oPt",7209051.11,0,7209051.11,"EUR","0.830000",6000000,0,6000000
2021,"Belgium","Syria",8536585.37,0,8536585.37,"EUR","0.820000",7000000,0,7000000
2021,"Belgium","Syria Cross border",4878048.78,0,4878048.78,"EUR","0.820000",4000000,0,4000000
2021,"Belgium","Yemen",6097560.98,0,6097560.98,"EUR","0.820000",5000000,0,5000000
2021,"Brunei Darussalam","Yemen",50000,0,50000,"USD","1.000000",50000,0,50000
2021,"Canada","Afghanistan",6488048.01,0,6488048.01,"CAD ","1.240000",8013533,0,8013533
2021,"Canada","Burkina Faso (RhPF)",120804.49,0,120804.49,"CAD","1.240000",150039.17,0,150039.17
2021,"Canada","CAR",2500032.7,0,2500032.7,"CAD ","1.250000",3113534,0,3113534
2021,"Canada","DRC",6434479.16,0,6434479.16,"CAD ","1.230000",7915194,0,7915194
2021,"Canada","Ethiopia",7133801.34,0,7133801.34,"CAD","1.230000",8802202.55,0,8802202.55
2021,"Canada","Iraq",1195081.05,0,1195081.05,"CAD","1.250000",1499826.71,0,1499826.71
2021,"Canada","Lebanon",796720.7,0,796720.7,"CAD","1.260000",999884.48,0,999884.48
2021,"Canada","Myanmar",806727.51,0,806727.51,"CAD","1.250000",1012443.02,0,1012443.02
2021,"Canada","Niger (RhPF)",597453.89,0,597453.89,"CAD","1.250000",749804.63,0,749804.63
2021,"Canada","Nigeria",3118138.15,0,3118138.15,"CAD","1.220000",3800814.35,0,3800814.35
2021,"Canada","Pakistan",1195081.05,0,1195081.05,"CAD","1.250000",1499826.71,0,1499826.71
2021,"Canada","Somalia",4059440.46,0,4059440.46,"CAD ","1.240000",5015417,0,5015417
2021,"Canada","South Sudan",3556246.53,0,3556246.53,"CAD ","1.240000",4415966,0,4415966
2021,"Canada","Sudan",5044014.6,0,5044014.6,"CAD ","1.230000",6213189,0,6213189
2021,"Canada","Syria",3186882.79,0,3186882.79,"CAD","1.250000",3999537.9,0,3999537.9
2021,"Canada","Syria Cross border",3186882.79,0,3186882.79,"CAD","1.250000",3999537.9,0,3999537.9
2021,"Canada","Ukraine",1991801.74,0,1991801.74,"CAD","1.260000",2499711.19,0,2499711.19
2021,"Canada","Venezuela",2876529.18,0,2876529.18,"CAD","1.220000",3500736.01,0,3500736.01
2021,"Canada","Yemen",8647444.47,0,8647444.47,"CAD","1.250000",10848878.39,0,10848878.39
2021,"Croatia","Afghanistan",136085.64,0,136085.64,"EUR ","0.890000",120844,0,120844
2021,"Cyprus","Afghanistan",57176.3,0,57176.3,"EUR ","0.870000",49858,0,49858
2021,"Cyprus","Yemen",24479.8,0,24479.8,"EUR","0.820000",20000,0,20000
2021,"Denmark","Afghanistan",16099278.03,0,16099278.03,"DKK ","6.140000",98818979,0,98818979
2021,"Denmark","Burkina Faso (RhPF)",5356371.69,0,5356371.69,"DKK","6.530000",34998532.62,0,34998532.62
2021,"Denmark","Ethiopia",4606565.57,0,4606565.57,"DKK","6.510000",29997954.99,0,29997954.99
2021,"Denmark","Lebanon",2449623.43,0,2449623.43,"DKK","6.120000",14999044.26,0,14999044.26
2021,"Denmark","Niger (RhPF)",5592952.33,0,5592952.33,"DKK","6.260000",35000695.68,0,35000695.68
2021,"Denmark","Syria",4082678.37,0,4082678.37,"DKK","6.120000",24998239.66,0,24998239.66
2021,"Denmark","Syria Cross border",6389530.34,0,6389530.34,"DKK","6.100000",39001693.2,0,39001693.2
2021,"Denmark","Yemen",5717182.11,0,5717182.11,"DKK","6.120000",35000588.88,0,35000588.88
2021,"Estonia","Sudan",58760.25,0,58760.25,"EUR ","0.840000",49241,0,49241
2021,"Estonia","Ukraine",60975.61,0,60975.61,"EUR","0.820000",50000,0,50000
2021,"European Commission","South Sudan",3386766,0,3386766,"USD ","1.000000",3386766,0,3386766
2021,"European Commission","Ukraine",1162790.7,0,1162790.7,"EUR","0.860000",1000000,0,1000000
2021,"France","Afghanistan",13513513.51,0,13513513.51,"EUR ","0.890000",12000000,0,12000000
