Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2016-0253-RUS,2016,0253,,Technological,Technological,Transport accident,Air,,Iliouchine IL-76,Russian Federation (the),RUS,Eastern Europe,Europe,Irkoutsk,,,,,,,,,,,,,,2016,7,1,2016,7,1,10,,,,,,,,,,,"88,57345288",,,,
2016-0217-RUS,2016,0217,,Technological,Technological,Transport accident,Water,,,Russian Federation (the),RUS,Eastern Europe,Europe,Siamozero lake (Carelie),,,,,,,,,,,,,,2016,6,19,2016,6,19,14,,36,,36,,,,,,,"88,57345288",,,,
2016-0064-RUS,2016,0064,,Technological,Technological,Industrial accident,Explosion,,Coal mine,Russian Federation (the),RUS,Eastern Europe,Europe,Severnaïa,,,,,,,,,m3,,,,,2016,2,25,2016,2,28,36,,,,,,,,,,,"88,57345288",,,,
2016-0157-RUS,2016,0157,,Technological,Technological,Industrial accident,Explosion,,Coal mine,Russian Federation (the),RUS,Eastern Europe,Europe,Lougansk (Ukraine),,,,,,,,,m3,,,,,2016,5,4,2016,5,4,10,,,,,,,,,,,"88,57345288",,,,
2016-0007-RUS,2016,0007,,Technological,Technological,Miscellaneous accident,Fire,,Factory,Russian Federation (the),RUS,Eastern Europe,Europe,Moscou,,,,,,,,,,,,,,2016,1,31,2016,1,31,11,,,,,,,,,,,"88,57345288",,,,
2016-0079-RUS,2016,0079,,Technological,Technological,Miscellaneous accident,Fire,,Rehablitation centre,Russian Federation (the),RUS,Eastern Europe,Europe,Sterlitamak town (Bashkortostan Rep. province),,,,,,,,,,,,,,2016,3,14,2016,3,15,12,,,,,,,,,,,"88,57345288",1,2494,,Bashkortostan Rep. (Adm1). 
2016-0128-RUS,2016,0128,,Natural,Hydrological,Flood,,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Vologodskaya Oblast, Tyumenskaya Oblast, Sverdlovskaya Oblast provinces","Snwomelt, Ice jams and rising temperatures",,,,,,,1834048,Km2,61.967,59.803,,,2016,4,16,2016,4,22,,,3200,,3200,,,,,2000,2258,"88,57345288",1,2559;2566;2573,,"Sverdlovskaya Oblast, Tyumenskaya Oblast, Vologodskaya Oblast (Adm1). "
2016-0164-RWA,2016,0164,,Natural,Hydrological,Landslide,Landslide,,,Rwanda,RWA,Eastern Africa,Africa,"Gakenke district (North/Amajyaruguru province), Muhanga district (South/Amajyepfo province), Rubavu district (West/Iburengerazuba province), Ngororero districts (West/Iburengerazuba province)",Heavy rains,,,,,,,18269,,-2.057,30.012,,,2016,5,7,2016,5,8,50,30,30000,,30030,,,,,,,"88,57345288",2,,21976;21987;21990;21998,"Gakenke, Muhanga, Ngororero, Rubavu (Adm2). "
2016-0120-SAU,2016,0120,FF-2016-000034,Natural,Hydrological,Flood,Flash flood,,,Saudi Arabia,SAU,Western Asia,Asia," Al-Baidhani valley of Asir region, Baha and Taif (Makkah), east of Traj valley",,,,,,,,,Km2,,,,,2016,4,8,2016,4,10,3,,,,,,,,,,,"88,57345288",1,2622;2623;2629,,"Asir, Baha, Makkah (Adm1). "
2016-0114-SAU,2016,0114,,Technological,Technological,Industrial accident,Fire,,Petrochimical factory,Saudi Arabia,SAU,Western Asia,Asia,"Jubail town (Ach-Charqiya area, Eastern province)",,,,,,,,,m3,,,,,2016,4,16,2016,4,16,12,11,,,11,,,,,,,"88,57345288",1,2624,,Eastern Province (Adm1). 
2016-0105-SAU,2016,0105,,Natural,Hydrological,Flood,,,,Saudi Arabia,SAU,Western Asia,Asia,"Jizan, Riyadh, Makkah, Madinah, Baha, Asir provinces",Heavy rains,,,,,,,,Km2,,,,,2016,4,8,2016,4,15,18,,915,,915,,,,,,,"88,57345288",1,2622;2623;2627;2628;2629;2633,,"Asir, Baha, Jizan, Madinah, Makkah, Riyad (Adm1). "
2016-0274-SDN,2016,0274,FL-2016-000072,Natural,Hydrological,Flood,Flash flood,,,Sudan (the),SDN,Northern Africa,Africa,"Al Gezira, Blue Nile, Gedaref, Kassala, Sennar, South Kordofan, West Kordofan, North Kordofan, North Darfur, East Darfur, Karthoum, Northern Darfur (Shamal Darfur), Southern Darfur, Western Darfur, River Nile, White Nile, Red Sea",Torrential rains,,,,,,,,Km2,,,,,2016,6,,2016,9,8,171,4,90000,110000,200004,,,,,,,"88,57345288",1,2745;2749;2753;2755;2757;2761;2762;2764;2769;2770;4150;40772;68783;68784;68805,,"Al Jazeera, Blue Nile, Gadaref, Kassala, Khartoum, Nile, Northern, Northern Darfur, Northern Kordofan, Red Sea, Sennar, Southern Darfur, Southern Kordofan, Western Darfur, White Nile (Adm1). "
