Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2016-0175-BGD,2016,0175,TC-2016-000052,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Roanu,Bangladesh,BGD,Southern Asia,Asia,"Barisal; Noakhali, Lakshmipur, Chandpur (Chittagong); Cox’s Bazar, Bhola, Barguna, Patuakhali",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2016,5,21,2016,5,21,28,,1083855,119700,1203555,,,,,600000,677404,"88,57345288",2,,5761;5763;5765;5769;5772;5775;5776,"Barguna, Bhola, Chandpur, Cox's Bazar, Lakshmipur, Noakhali, Patuakhali (Adm2). "
2016-0117-ECU,2016,0117,EQ-2016-000035,Natural,Geophysical,Earthquake,Ground movement,,,Ecuador,ECU,South America,Americas,"Guayaquil district (Guayas province), Muisne district (Esmeraldas province), Portoviejo district (Manabi province), Santo Domingo de los Tsachilas, Los Ríos, Santa Elena provinces",,,"Slide (land, mud, snow, rock)",Yes,,Yes,44992,8,Richter,0.382,-79.92,18:58,,2016,4,16,2016,4,16,672,6274,383090,,389364,3344000,3775398,560000,632244,2000000,2258013,"88,57345288",1;2,1147;22007;22008,15388;15423;15483,"Los Rios, Santa Elena, Santo Domingo de los Tsachilas (Adm1). Guayaquil, Muisne, Portoviejo (Adm2). "
2016-0095-CHN,2016,0095,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,"Jiangxi Sheng, Hunan Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",Hail,,,,,383224,Km2,24.704,113.991,,,2016,3,19,2016,3,22,5,,216000,3300,219300,,,,,170000,191931,"88,57345288",1,903;904;905;912;914,,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hunan Sheng, Jiangxi Sheng (Adm1). "
2016-0137-CHN,2016,0137,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Anhui, Hubei, Fujian, Zhejiang, Jiangxi, Hunan, Guangxi, Yunnan, Guangdong, Guizhou",Heavy rains,"Slide (land, mud, snow, rock)",Storm,,,,,,Km2,,,,Yangtze river,2016,4,20,2016,4,28,20,,48000,,48000,,,,,97000,109514,"88,57345288",1,898;901;903;904;905;911;912;914;929;930,,"Anhui Sheng, Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Hubei Sheng, Hunan Sheng, Jiangxi Sheng, Yunnan Sheng, Zhejiang Sheng (Adm1). "
2016-0041-FJI,2016,0041,TC-2016-000014,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Winston,Fiji,FJI,Melanesia,Oceania,"Savusavu (Cakaudrove district, Northern province, Vanua Levu Isl. and Taveuni Isl.), Bua, Macuata districts (Northern province, Vanua Levu Isl.), Western, Central provinces (Viti Levu, Yasawa, Mamanuca Isl.), Lau district (Eastern province, Vanua Balavu, Nayau Isl.), Lomaiviti district (Eastern province, Koro Isl.)",,Flood,Surge,Yes,Yes,Yes,41862,325,Kph,,,,,2016,2,20,2016,2,21,45,144,540414,,540558,,,50000,56450,600000,677404,"88,57345288",2,,40191;40192;40193;40194;40195;40197;40198;40200;40201;40202;40203;40204;40205,"Ba, Bua, Cakaudrove, Lau, Lomaiviti, Macuata, Nadroga & Navosa, Naitasiri, Namosi, Ra, Rewa, Serua, Tailevu (Adm2). "
2016-0112-AFG,2016,0112,FL-2016-000021,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Daykundi, Ghazni, Uruzgan provinces",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2016,4,2,2016,4,8,30,,,,,,,,,,,"88,57345288",1,279;99878;99881,,"Daykundi, Ghazni, Uruzgan (Adm1). "
2016-0191-AFG,2016,0191,,Natural,Hydrological,Flood,,,,Afghanistan,AFG,Southern Asia,Asia,"Badakhshan (Tashkan, Baharak, Darayem, Shahada districts)",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2016,5,9,2016,5,12,6,,,,,,,,,,,"88,57345288",2,,100008;100011;100012;100013,"Baharak, Darayem, Shuhada, Teshkan (Adm2). "
2016-0246-BOL,2016,0246,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Sur Yungas, Nor Yungas, Camacho, Bautista Saavedra districts (La Paz province), Apolo municipality (Franz Tamayo district, La Paz province), Achocalla municipality (Murillo district, La Paz province), Puerto Villaroel municipality (Carrasco district, Cochabamba province), Arani district (Cochabamba province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,190581,Km2,-12.843,-64.93,,,2016,2,28,2016,3,3,,,120,,120,,,,,,,"88,57345288",2,,6174;6175;6185;6189;6190;40463;40469;40487,"Arani, Bautista Saavedra, Camacho, Carrasco, Franz Tamayo, Murillo, Nor Yungas, Sur Yungas (Adm2). "
2016-0077-BRA,2016,0077,,Natural,Hydrological,Flood,Flash flood,,,Brazil,BRA,South America,Americas,"Mairipora, Francisco Morato, Itapevi, Guarulhos, Cajamar districts (Sao Paulo province), Rio de Janeiro province",Torrential arins,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Pinheiros,2016,3,10,2016,3,11,30,,,,,,,,,100000,112901,"88,57345288",1;2,683,11082;11167;11193;11238;11301,"Rio De Janeiro (Adm1). Cajamar, Francisco Morato, Guarulhos, Itapevi, Mairipora (Adm2). "
2016-0241-CHN,2016,0241,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Jiangsu, Anhui, Jiangxi, Henan, Hubei, Hunan, Guangxi, Chogqing, Sichuan, Guizhou, Yunnan",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,720844,Km2,27.976,114.24,,Yangtze river,2016,6,28,2016,7,13,289,,60000000,,60000000,,,432000,487731,22000000,24838142,"88,57345288",1,898;900;904;905;909;911;912;913;914;924;929,,"Anhui Sheng, Chongqing Shi, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Henan Sheng, Hubei Sheng, Hunan Sheng, Jiangsu Sheng, Jiangxi Sheng, Sichuan Sheng, Yunnan Sheng (Adm1). "
2016-0039-ECU,2016,0039,,Natural,Hydrological,Flood,Riverine flood,,,Ecuador,ECU,South America,Americas,"Atacames, Rioverde, Esmeraldas districts (Esmeraldas province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,"Esmeraldas, Muisne, Quininde, San Lorenzo, Eloy Alfaro, Rio Verde and Atacames rivers",2016,1,24,2016,1,26,,,23955,,23955,,,,,,,"88,57345288",2,,15384;22044;22047,"Atacames, Esmeraldas, Rioverde (Adm2). "
2016-0101-ETH,2016,0101,FL-2016-000045,Natural,Hydrological,Flood,Flash flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Jijiga city (Fafan district, Somali province), Wolayita district (SNNPR province), Afar, Amhara, Tigray, Oromia provinces","Torrential rains, El Nino","Slide (land, mud, snow, rock)",,,,,,2440002,Km2,9.268,41.691,,Fafen river,2016,4,2,2016,4,7,28,80,2000,1000,3080,,,,,,,"88,57345288",1;2,1228;1229;1237;47678,40845;47706,"Afar, Amhara, Oromia, Tigray (Adm1). Fafan, Wolayita (Adm2). "
2016-0186-ETH,2016,0186,,Natural,Hydrological,Flood,Flash flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Wolayita district (SNNPR province), Bale district (Oromia province)",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Shabelle river,2016,5,9,2016,5,20,100,,490000,,490000,,,,,,,"88,57345288",2,,47706;149288,"Bale, Wolayita (Adm2). "
2016-0126-HTI,2016,0126,,Natural,Hydrological,Flood,,,,Haiti,HTI,Caribbean,Americas,"Port-au-Prince city (Port-au-Prince district, Ouest province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2016,4,23,2016,4,24,6,10,22060,,22070,,,,,,,"88,57345288",2,,17198,Port-Au-Prince (Adm2). 
2016-0172-CAN,2016,0172,,Natural,Climatological,Wildfire,Forest fire,,Fort McMurray wildfires,Canada,CAN,Northern America,Americas,"Fort McMurray city (Wood Buffalo area, Division No. 16 district, Alberta province)",,Explosion,,Yes,,,,6000,Km2,,,,,2016,5,1,2016,7,4,,,88000,,88000,,,2900000,3274119,4000000,4516026,"88,57345288",2,,12535,Division No. 16 (Adm2). 
2016-0140-CHN,2016,0140,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,China,CHN,Eastern Asia,Asia,"Hubei Sheng, Henan Sheng, Shaanxi Sheng, Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Shandong Sheng provinces",,Hail,,,,,,,Kph,,,,,2016,4,24,2016,4,27,,49,6000,,6049,,,,,202000,228059,"88,57345288",1,904;905;909;911;920;921,,"Guangxi Zhuangzu Zizhiqu, Guizhou Sheng, Henan Sheng, Hubei Sheng, Shaanxi Sheng, Shandong Sheng (Adm1). "
2016-0230-CHN,2016,0230,,Natural,Meteorological,Storm,Convective storm,,,China,CHN,Eastern Asia,Asia,"Shanxi Sheng, Henan Sheng, Hebei Sheng, Hubei Sheng, Sichuan Sheng, Shanxi Sheng, Jilin Sheng, Gansu Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng provinces",,Hail,,,,,,,Kph,,,,,2016,6,2,2016,6,8,12,,150000,,150000,,,,,768000,867077,"88,57345288",1,902;903;904;906;907;909;911;915;920;923;924,,"Gansu Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng, Hebei Sheng, Henan Sheng, Hubei Sheng, Jilin Sheng, Shaanxi Sheng, Shanxi Sheng, Sichuan Sheng (Adm1). "
2016-0201-AUS,2016,0201,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Australia,AUS,Australia and New Zealand,Oceania,"New South Wales, Queensland, Tasmania provinces",,Flood,,,,,,115,Kph,,,,,2016,6,4,2016,6,5,5,,,,,,,310000,349992,500000,564503,"88,57345288",1,470;473;475,,"New South Wales, Queensland, Tasmania (Adm1). "
2016-0211-BEL,2016,0211,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Belgium,BEL,Western Europe,Europe,"Manage village (Mons region, Hainaut district, Region wallonne province), Jodoigne city (Brabant wallon district, Region wallonne province), Brussels airport, Atomium monument (Area without administrative 2nd division, Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes province)",,Flood,,,,,,,Kph,,,,,2016,6,23,2016,6,24,1,,,,,,,,,,,"88,57345288",2,,5844;5850;5854,"Area without administration at 2nd level, Brabant wallon, Hainaut (Adm2). "
2016-0256-CHN,2016,0256,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Butchoy (Nepartak),China,CHN,Eastern Asia,Asia,Fujian Sheng province,,Flood,,,,,,,Kph,,,,,2016,7,9,2016,7,9,69,,,24900,24900,,,,,1511160,1706109,"88,57345288",1,901,,Fujian Sheng (Adm1). 
2016-0162-CHN,2016,0162,,Natural,Hydrological,Landslide,Mudslide,,,China,CHN,Eastern Asia,Asia,"Sanming district (Fujian Sheng province), Guangxi Zhuangzu Zizhiqu, Guangdong Sheng, Zhejiang, Jiangxi, Hubei, Hunan, Chongqing, Sichuan, Guizhou, Yunnan provinces",Heavy rains,Flood,,,,,,,,,,,,2016,5,4,2016,5,11,66,,237600,,237600,,,,,700000,790305,"88,57345288",1;2,903;904,13008,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu (Adm1). Sanming (Adm2). "
2016-0141-FJI,2016,0141,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone Zena,Fiji,FJI,Melanesia,Oceania,"Central, Western provinces (Viti Levu Isl.)",,Flood,,,,,,,Kph,,,,,2016,4,4,2016,4,7,2,,5000,,5000,,,,,,,"88,57345288",1,40187;40190,,"Central, Western (Adm1). "
2016-9052-HTI,2016,9052,,Natural,Climatological,Drought,Drought,,,Haiti,HTI,Caribbean,Americas,"Corail, Anse-D'Ainsault, Jeremie districts (Grande Anse province), Chardonnieres, Coteaux, Aquin, Cayes, Port-Salut districts (Sud province), Anse-A-Veau, Baraderes, Miragoane districts (Nippes province), Gonave, Leogane districts (Ouest province), Belle Anse, Jacmel, Bainet districts (Sud Est province), Croix-des-Bouquets district (Ouest province), Lascahobas, Ceca La Source, Hinche, Mirebalais districts (Centre province), Valliere, Ouanaminthe, Trou du Nord, Fort Liberte districts (Nord Est province), Saint-Raphael, Grande Riviere Du Nord, Limbe, Acul Du Nord districts (Nord province), Gonaives, Marmelade, Gros Morne, Saint-Marc districts (Artibonite province), Mole Saint Nicolas, Port De Paix districts (Nord Ouest province)",Lack of rain,Food shortage,,,,,,,Km2,,,,,2016,1,,2017,2,,,,3600000,,3600000,,,,,84000,94837,"88,57345288",2,,17167;17168;17169;17170;17171;17172;17173;17174;17175;17176;17177;17179;17180;17181;17182;17183;17184;17185;17188;17189;17191;17193;17194;17196;17197;17199;17200;17201;17202;17203;17204;17205;17206;73607;73608,"Acul Du Nord, Anse-A-Veau, Anse-D'Ainault, Aquin, Bainet, Baraderes, Belle Anse, Cayes, Ceca La Source, Chardonnieres, Corail, Coteaux, Croix-Des-Bouquets, Fort Liberte, Gonaives, Gonave, Grande Riviere Du Nord, Gros Morne, Hinche, Jacmel, Jeremie, Lascahobas, Leogane, Limbe, Marmelade, Miragoane, Mirebalais, Mole Saint Nicolas, Ouanaminthe, Port De Paix, Port-Salut, Saint-Marc, Saint-Raphael, Trou Du Nord, Valliere (Adm2). "
2016-0165-HTI,2016,0165,,Natural,Hydrological,Flood,Riverine flood,,,Haiti,HTI,Caribbean,Americas,"Bombardopolis city (Mole Saint Nicolas district, Nord Ouest province), Gonaives district (Artibonite province)",,Transport accident,,,,,,,Km2,,,,,2016,5,2,2016,5,2,23,,,,,,,,,,,"88,57345288",2,,17168;17184,"Gonaives, Mole Saint Nicolas (Adm2). "
2016-0154-BGD,2016,0154,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Bangladesh,BGD,Southern Asia,Asia,"Dhaka (Jatrabarhi’s Konaparha), Rajshahi (Mohanpur, Durgapur, Gogagarhi), Sirajgani (Raiganj, Ullaparha), Pabna (Sujanagar, Berha), Rajbari, Kishoreganj (Hossainpur, Tarhail, Bajitpur), Brahmanbarhia (Sarail, Banchharampur), Gazipur (Kapasia), Bogra (Sherpur), Natore (Lalpur), Habiganj (Baniachong), Naogaon (Atrai), Nilphamari (Kishoreganj)",,Lightening,,,,,,,Kph,,,,,2016,5,13,2016,5,15,59,,,,,,,,,,,"88,57345288",2,,5768;5778;5780;5783;5791;5805;5811;5812;5814;5815;5817;5819;5821,"Bogra, Brahamanbaria, Dhaka, Gazipur, Habiganj, Kishoreganj, Naogaon, Natore, Nilphamari, Pabna, Rajbari, Rajshahi, Sirajganj (Adm2). "
2016-0179-FRA,2016,0179,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,"Yvelines, Paris districts (Ile-de-France province), Marne district (Champagne-Ardenne), Manche, Calvados districts (Basse-Normandie province), Orne, Eure, Seine-Maritime (Haute-Normandie province)",Heavy rains,Lightening,,,,,,,Km2,,,,"Seine, Loing, Yonne",2016,5,31,2016,6,5,5,24,,,24,,,1300000,1467708,2400000,2709615,"88,57345288",2,,16249;16250;16251;16269;16276;16277;16280;16285,"Calvados, Eure, Manche, Marne, Orne, Paris, Seine-Maritime, Yvelines (Adm2). "
2016-0053-HTI,2016,0053,,Natural,Hydrological,Flood,Riverine flood,,,Haiti,HTI,Caribbean,Americas,"Cap-Haitien, Limonade cities (Cap Haitien district, Nord province), Grande Anse province",Heavy rains,Lightening,,,,,,,Km2,,,,Mapou river,2016,2,28,2016,2,28,5,7660,40620,,48280,,,,,2000,2258,"88,57345288",1;2,72911,17190,Grande Anse (Adm1). Cap Haitien (Adm2). 
2016-0135-AFG,2016,0135,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Baghlan, Daykundi, Samangan, Takhar, Badghis provinces",Heavy rains,,,,,,,,Km2,,,,,2016,4,16,2016,4,17,31,,,,,,,,,,,"88,57345288",1,273;274;298;300;99878,,"Badghis, Baghlan, Daykundi, Samangan, Takhar (Adm1). "
2016-0163-AFG,2016,0163,,Technological,Technological,Transport accident,Road,,,Afghanistan,AFG,Southern Asia,Asia,Between Kaboul and Kandahar,,,,,,,,,,,,,,2016,5,8,2016,5,8,73,,,,,,,,,,,"88,57345288",,,,
2016-0056-AGO,2016,0056,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Lubango city (Lubango district, Huila province)",,,,,,,,,Km2,,,,"Capitao, Caculuvar rivers",2016,2,29,2016,3,1,54,,,,,,,,,,,"88,57345288",2,,4284,Lubango (Adm2). 
2016-0088-AGO,2016,0088,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Sumbe district (Cuanza Sul province), Cacolo, Dala, Saurimo districts (Lunda Sul province)",Extreme rainfall,,,,,,,,Km2,,,,,2016,3,3,2016,3,6,6,,,2755,2755,,,,,,,"88,57345288",2,,4255;4310;4311;4313,"Cacolo, Dala, Saurimo, Sumbe (Adm2). "
2016-0131-AGO,2016,0131,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Viana, Cacuaco, Belas (Viana), Cazenga and urban districts of Ingombota, Kilamba Kiaxi, Rangel, Maianga (Luanda), Ceramina, Mateba, Paraiso, Augusto Ngangula municiplalities",Torrential rains,,,,,,,59746,Km2,-8.321,13.978,,,2016,4,16,2016,4,22,23,,3200,2400,5600,,,,,,,"88,57345288",2,,4298;4299;4300,"Cacuaco, Luanda, Viana (Adm2). "
2016-0247-AGO,2016,0247,,Natural,Hydrological,Flood,,,,Angola,AGO,Middle Africa,Africa,"Cuanza Sul, Lunda Sul provinces",Heavy rains,,,,,,,277015,Km2,-11.594,16.056,,,2016,3,1,2016,3,10,30,,1544,,1544,,,,,,,"88,57345288",1,403;410,,"Cuanza Sul, Lunda Sul (Adm1). "
2016-0127-ARG,2016,0127,,Natural,Hydrological,Flood,Riverine flood,,,Argentina,ARG,South America,Americas,"Entre Rios, Corrientes, Santa Fe, Chaco, Formosa, Santiago del Estero, Buenos Aires, Cardoba provinces",Excessive rains,,,,,,,,Km2,,,,"Parana, Salado rivers",2016,4,4,2016,4,15,,,72119,,72119,,,50000,56450,1000000,1129006,"88,57345288",1,429;432;434;435;436;437;449;450,,"Buenos Aires, Chaco, Cordoba, Corrientes, Entre Rios, Formosa, Santa Fe, Santiago Del Estero (Adm1). "
2016-0014-AUS,2016,0014,,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,Yarloop busfires,Australia,AUS,Australia and New Zealand,Oceania,"Yarloop, Cookernup areas (Harvey (S) district, Western Australia province), Hamel, Waroona areas (Waroona (S) district, Western Australia province)",Lighthning,,,,,Yes,,,Km2,,,,,2016,1,5,2016,1,10,2,,,540,540,,,50000,56450,110000,124191,"88,57345288",2,,5489;5560,"Harvey (S), Waroona (S) (Adm2). "
2016-0179-AUT,2016,0179,,Natural,Hydrological,Flood,,,,Austria,AUT,Western Europe,Europe,"Salzburg province, Braunau am Inn district (Oberosterreich province)",Heavy rains,,,,,,,,Km2,,,,,2016,6,1,2016,6,1,,,,,,,,,,,,"88,57345288",1;2,482,5618,Salzburg (Adm1). Braunau am Inn (Adm2). 
2016-0142-BDI,2016,0142,,Technological,Technological,Transport accident,Road,,,Burundi,BDI,Eastern Africa,Africa,Between Gitega and Rutana,,,,,,,,,,,,,,2016,4,25,2016,4,25,20,100,,,100,,,,,,,"88,57345288",,,,
2016-0143-BDI,2016,0143,,Technological,Technological,Transport accident,Road,,,Burundi,BDI,Eastern Africa,Africa,Near Bujumbura,,,,,,,,,,,,,,2016,4,11,2016,4,11,20,50,,,50,,,,,,,"88,57345288",,,,
2016-0179-BEL,2016,0179,,Natural,Hydrological,Flood,,,,Belgium,BEL,Western Europe,Europe,"Harsin area (Nassogne commune, Luxembourg district, Region wallonne province)",Thunderstorms,,,,,,,,Km2,,,,,2016,6,2,2016,6,8,1,,,,,,,,,,,"88,57345288",2,,5852,Luxembourg (Adm2). 
2016-0287-BFA,2016,0287,,Natural,Hydrological,Flood,Riverine flood,,,Burkina Faso,BFA,Western Africa,Africa,"Arr.3 (Zogo, Watinoma, sector 12 and 13), Arr. 4, Arr. 7 (Sondogo), Arr.8 (Bissighin), Arr. 10, Tanghlin Dassouri Arr. (Ouagadougou city, Kadiogo district, Centre province), Boucle du Mouhoun, Cascades, Centre-nord, Centre-ouest, Est, Hauts-bassins, Nord, Sahel provinces",Heavy rains,,,,,,,,Km2,,,,,2016,6,21,2016,7,16,15,35,27826,7032,34893,,,,,,,"88,57345288",1,40276;40277;40278;40280;40281;40283;40284;40285;40287,,"Boucle Du Mouhoun, Cascades, Centre, Centre-nord, Centre-ouest, Est, Hauts-bassins, Nord, Sahel (Adm1). "
2016-0147-BFA,2016,0147,,Technological,Technological,Transport accident,Road,,,Burkina Faso,BFA,Western Africa,Africa,Toécé,,,,,,,,,,,,,,2016,5,9,2016,5,9,15,30,,,30,,,,,,,"88,57345288",,,,
2016-0171-BFA,2016,0171,,Technological,Technological,Transport accident,Road,,,Burkina Faso,BFA,Western Africa,Africa,Between Ouagadougou and Bobo-Dioulasso,,,,,,,,,,,,,,2016,5,19,2016,5,19,24,36,,,36,,,,,,,"88,57345288",,,,
2016-0002-BGD,2016,0002,,Natural,Geophysical,Earthquake,Ground movement,,,Bangladesh,BGD,Southern Asia,Asia,"Dhaka, Jamalpur districts (Dhaka province), Rajshahi district (Rajshahi province), Lalmonirhat, Panchagarh districts (Rangpur province)",,,,,,,,7,Richter,24.804,93.65,,,2016,1,3,2016,1,3,5,70,,,70,,,,,,,"88,57345288",2,,5778;5782;5810;5816;5817,"Dhaka, Jamalpur, Lalmonirhat, Panchagarh, Rajshahi (Adm2). "
2016-0288-BGD,2016,0288,FL-2016-000075,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Kurigram, Bogra, Sirajganj, Gaibandha, Tangail, Jamalpur, Nilphamari, Lalmonirhat, Sunamganj, Faridpur, Kustia,Madaripur, Manikganj, Rajbari, Rangpur, Sariatpur districts",Heavy rains,,,,,,,45667,Km2,24.095,90.04,,,2016,7,19,2016,8,2,106,,1900000,,1900000,,,,,150000,169351,"88,57345288",2,,5779;5782;5784;5785;5791;5792;5794;5800;5805;5807;5809;5810;5814;5818;5819;5823,"Bogra, Faridpur, Gaibandha, Jamalpur, Kurigram, Kushtia, Lalmonirhat, Madaripur, Manikganj, Nilphamari, Rajbari, Rangpur, Shariatpur, Sirajganj, Sunamganj, Tangail (Adm2). "
2016-0293-BGD,2016,0293,,Technological,Technological,Transport accident,Water,,Fishing boat 'Maha Gouri',Bangladesh,BGD,Southern Asia,Asia,Bengal Gulf,,,,,,,,,,,,,,2016,8,13,2016,8,13,17,,,,,,,,,,,"88,57345288",,,,
2016-0284-BLZ,2016,0284,TC-2016-000078,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Earl',Belize,BLZ,Central America,Americas,"San Pedro, Caye Caulker, Belize city, Ladyville, (Belize province), Orange Walk province, Belmopan (Cayo province)",,,,Yes,,,,110,Kph,,,,,2016,8,4,2016,8,4,,,10355,,10355,,,,,,,"88,57345288",1,603;604;606,,"Belize, Cayo, Orange Walk (Adm1). "
2016-0214-BRA,2016,0214,,Technological,Technological,Transport accident,Road,,,Brazil,BRA,South America,Americas,Sao Paulo State,,,,,,,,,,,,,,2016,6,9,2016,6,9,18,31,,,31,,,,,,,"88,57345288",,,,
2016-0033-BRA,2016,0033,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Arapongas, Rolândia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irmãos do Buriti, Taquarussu districts (Mato Grosso do Sul province)",El Nino,,,,,Yes,,110515,Km2,-17.956,-56.442,,,2016,1,9,2016,1,15,3,,50500,,50500,,,,,100000,112901,"88,57345288",1;2,689,7676;7697;7717;7741;9107;9281;9401,"Sao Paulo (Adm1). Aquidauana, Arapongas, Dois Irmaos Do Buriti, Londrina, Miranda, Rolandia, Taquarussu (Adm2). "
2016-0300-CAF,2016,0300,EP-2016-000082,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Central African Republic,CAF,Middle Africa,Africa,"Mourou-Fleuve village (NDjoukou district, Kemo province); Zawara, Danga, Massamba (Damara district); Bangui ",,,,,,Yes,,,Vaccinated,,,,,2016,7,5,2016,9,20,21,266,,,266,,,,,,,"88,57345288",2,,12880;67155,"Bangui, Damara (Adm2). "
2016-0243-CAN,2016,0243,,Natural,Hydrological,Flood,,,,Canada,CAN,Northern America,Americas,"Chetwynd, Lemoray, Dawson Creek, Link Creek, Braden Road, Mackenzie, Fort St. John cities (Peace River district, British Columbia/Colombie-Britannique province)",Heavy rain,,,,,Yes,,176100,Km2,58.292,-123.249,,,2016,6,14,2016,6,21,,,300,,300,,,,,,,"88,57345288",2,,12560,Peace River (Adm2). 
2016-0118-CHL,2016,0118,,Natural,Hydrological,Flood,Riverine flood,,,Chile,CHL,South America,Americas,Metropolitana district (Santiago province),Heavy rains,,,,,,,,Km2,,,,"Maipo, Mapocho, Angostura, Rapel, Cachapoal, Tinguiririca rivers",2016,4,15,2016,4,18,12,100,,,100,,,,,100000,112901,"88,57345288",2,,12971,Santiago (Adm2). 
2016-0209-CHN,2016,0209,,Natural,Meteorological,Storm,Convective storm,Tornado,,China,CHN,Eastern Asia,Asia,"Jiangsu Sheng, Xinjinag Uygur Zizhiqu, Jilin Sheng, Liaoning Sheng, Beijing Shi provinces",,,,,,,,125,Kph,,,,,2016,6,24,2016,6,24,102,1000,45000,,46000,,,,,302000,340960,"88,57345288",1,899;913;915;916;927,,"Beijing Shi, Jiangsu Sheng, Jilin Sheng, Liaoning Sheng, Xinjiang Uygur Zizhiqu (Adm1). "
2016-0038-CHN,2016,0038,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Guangdong Sheng, Fujian Sheng, Guangxi Zhuangzu Zizhiqu provinces",Heavy rains,,,,,,,,Km2,,,,Yangtze river,2016,1,26,2016,1,29,11,,,3000,3000,,,,,20000,22580,"88,57345288",1,901;903;904,,"Fujian Sheng, Guangdong Sheng, Guangxi Zhuangzu Zizhiqu (Adm1). "
