,Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
62,2014,Sudan,Emergency Shelter and NFI,5517286.77,2231867,1921500
63,2014,Sudan,Food Security,8904912.95,1460869,970580
64,2014,Sudan,Health,9938634.0,8136866,8208203
65,2014,Sudan,Logistics,3250684.95,178200,135000
66,2014,Sudan,Nutrition,5829617.11,859935,1765002
67,2014,Sudan,Protection,4924466.53,662650,479649
68,2014,Sudan,Water Sanitation Hygiene,7880322.380000001,1437768,1334049
69,2014,Syria Cross border,Camp Coordination / Management,399741.89,62225,75604
70,2014,Syria Cross border,Education,401959.41,22547,23597
71,2014,Syria Cross border,Emergency Shelter and NFI,2390462.82,136620,134356
72,2014,Syria Cross border,Food Security,2108627.51,32590,74055
73,2014,Syria Cross border,Health,2501189.15,118096,105383
74,2014,Syria Cross border,Protection,399040.02,12875,16433
75,2014,Syria Cross border,Water Sanitation Hygiene,829276.75,232552,209645
76,2014,Yemen,Coordination and Support Services,28872.58,0,0
77,2014,Yemen,Education,605599.3,0,0
78,2014,Yemen,Emergency Shelter and NFI,4167437.01,0,0
79,2014,Yemen,Food Security,1468198.71,0,0
80,2014,Yemen,Health,4659418.24,0,0
81,2014,Yemen,Logistics,992960.0,0,0
82,2014,Yemen,Multi-Sector,348525.75,0,0
83,2014,Yemen,Nutrition,2037108.52,0,0
84,2014,Yemen,Protection,3544495.75,0,0
85,2014,Yemen,Water Sanitation Hygiene,1944678.71,0,0
0,2015,Afghanistan,Coordination and Support Services,3357883.78,2080,8338
1,2015,Afghanistan,Emergency Shelter and NFI,4184900.53,103819,89288
2,2015,Afghanistan,Food Security,1735818.57,57373,49052
3,2015,Afghanistan,Health,8377527.1502,1411614,1580636
4,2015,Afghanistan,Multi-Sector,6210857.609999999,414035,475785
5,2015,Afghanistan,Nutrition,7242785.06,161353,193698
6,2015,Afghanistan,Protection,1076152.6798,155064,170160
7,2015,Afghanistan,Water Sanitation Hygiene,5575078.69,381991,396652
8,2015,CAR,Camp Coordination / Management,2036586.18,81986,88272
9,2015,CAR,Early Recovery,2609447.726,128509,126150
10,2015,CAR,Education,1889415.59,48862,53738
11,2015,CAR,Emergency Shelter and NFI,2709259.38,188691,157664
12,2015,CAR,Food Security,3341124.454,99840,119705
13,2015,CAR,Health,3592967.9575,250419,254343
14,2015,CAR,Logistics,581978.35,35000,48000
15,2015,CAR,Nutrition,2368536.34,77596,74752
16,2015,CAR,Protection,3641533.0025,86972,104829
17,2015,CAR,Water Sanitation Hygiene,2444716.25,192391,227324
18,2015,Colombia,Early Recovery,74999.37,696,699
19,2015,Colombia,Education,130209.0,0,0
20,2015,Colombia,Emergency Shelter and NFI,249596.01,1000,570
21,2015,Colombia,Food Security,861849.136,5275,6545
22,2015,Colombia,Protection,86274.0597,317,872
23,2015,Colombia,Water Sanitation Hygiene,711853.7643,2798,3522
24,2015,DRC,Coordination and Support Services,941500.0,40440,86014
25,2015,DRC,Education,1666038.77,53039,94418
26,2015,DRC,Emergency Shelter and NFI,6745900.64,194625,349026
27,2015,DRC,Food Security,6238099.539999999,156356,138419
28,2015,DRC,Health,4718885.84,2009382,2665471
29,2015,DRC,Logistics,3698911.16,371583,402424
30,2015,DRC,Nutrition,898276.7999999999,22030,32176
31,2015,DRC,Protection,1203001.0,40300,73281
32,2015,DRC,Water Sanitation Hygiene,3885829.56,212405,287116
33,2015,Ethiopia,Coordination and Support Services,738356.71,400,751
34,2015,Ethiopia,Early Recovery,496051.15,0,0
35,2015,Ethiopia,Education,282686.51,13380,7406
36,2015,Ethiopia,Emergency Shelter and NFI,1200000.21,0,0
37,2015,Ethiopia,Food Security,6791870.240499999,445681,558673
38,2015,Ethiopia,Health,1000004.88,5309347,5530429
39,2015,Ethiopia,Nutrition,14904133.445099998,696547,837496
40,2015,Ethiopia,Protection,282686.51,13380,7406
41,2015,Ethiopia,Water Sanitation Hygiene,15550760.2944,1150212,1386119
42,2015,Haiti,Coordination and Support Services,656803.3,0,0
43,2015,Haiti,Health,571613.88,0,0
44,2015,Haiti,Protection,244907.43,100920,0
45,2015,Haiti,Water Sanitation Hygiene,629222.0,3680,0
46,2015,Iraq,Camp Coordination / Management,751605.45,0,30109
47,2015,Iraq,Early Recovery,803934.1799999999,6582,11904
48,2015,Iraq,Education,1815911.66,18740,31261
49,2015,Iraq,Emergency Shelter and NFI,1998413.77,24038,27136
50,2015,Iraq,Food Security,1100018.45,50000,52932
51,2015,Iraq,Health,7796987.95,5626955,4619939
52,2015,Iraq,Protection,1481240.67,73425,78950
53,2015,Iraq,Water Sanitation Hygiene,6531930.63,2170186,1565119
54,2015,Jordan,Early Recovery,397486.09,3400,3668
55,2015,Jordan,Education,693513.72,12205,11745
56,2015,Jordan,Emergency Shelter and NFI,6002857.88,55619,60493
57,2015,Jordan,Health,2799522.09,119109,111828
58,2015,Jordan,Multi-Sector,225843.47,50,50
59,2015,Jordan,Protection,555136.09,115640,164419
60,2015,Jordan,Water Sanitation Hygiene,792743.74,83690,88820
61,2015,Lebanon,Early Recovery,126362.195,416,605
62,2015,Lebanon,Education,96565.68,1155,8182
63,2015,Lebanon,Emergency Shelter and NFI,1664774.5699999998,72126,80010
64,2015,Lebanon,Food Security,148698.1,150,170
65,2015,Lebanon,Health,408366.057,10423,29134
66,2015,Lebanon,Protection,2665023.678,24725,30442
67,2015,Lebanon,Water Sanitation Hygiene,360884.25,24840,39824
68,2015,Myanmar,Education,1088975.33,16075,17345
69,2015,Myanmar,Emergency Shelter and NFI,588060.6594,25745,32457
70,2015,Myanmar,Food Security,648470.9395,36660,35714
71,2015,Myanmar,Health,1073129.572,99800,92963
72,2015,Myanmar,Nutrition,299998.54,5825,2761
