,Year,Code,Access to electricity (% of population)_x,Access to electricity (% of population)_y,Primary energy consumption per capita (kWh/person),Life expectancy,People using at least basic sanitation services (% of population),Annual CO2 emissions (per capita),"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))",GDP per capita,417485-annotations,Population (historical estimates),"Child mortality (Select Gapminder, v10) (2017)",Prevalence of undernourishment (% of population),People using at least basic drinking water services (% of population),qty_disasters_2016,Total Deaths,freq_conf_2016,qty_conf_2016,gini_2016
19,2016,SLV,13.0,13.0,9.0,15.0,15.0,8.0,8.0,12.0,74.0,26.0,22.0,9.0,49.0,74.0,74.0,74.0,74.0,66.5
20,2016,EST,74.0,74.0,61.0,44.0,56.0,69.0,63.0,47.0,74.0,7.0,68.0,74.0,30.0,74.0,74.0,74.0,74.0,141.5
21,2016,SWZ,4.0,4.0,8.0,1.0,7.0,6.0,7.0,11.0,74.0,5.0,1.0,8.0,72.0,74.0,74.0,74.0,74.0,8.0
22,2016,FIN,74.0,74.0,64.0,57.0,62.0,61.0,58.0,59.0,74.0,23.0,73.0,74.0,15.0,74.0,74.0,74.0,74.0,160.0
23,2016,FRA,74.0,74.0,57.0,66.0,51.0,41.0,41.0,58.0,74.0,60.0,53.0,74.0,14.0,27.0,25.0,74.0,74.0,135.0
24,2016,GEO,74.0,74.0,25.0,16.0,20.0,25.0,66.0,18.0,74.0,16.0,30.0,11.0,51.0,74.0,74.0,74.0,74.0,96.0
25,2016,DEU,74.0,74.0,60.0,53.0,58.0,64.0,74.0,66.0,74.0,64.0,57.0,74.0,14.0,34.5,31.5,74.0,74.0,138.0
26,2016,GHA,6.0,6.0,5.0,4.0,2.0,5.0,9.0,5.0,74.0,51.0,3.0,16.0,70.0,74.0,74.0,74.0,74.0,43.0
27,2016,GRC,74.0,74.0,40.0,60.0,53.0,51.0,33.0,41.0,74.0,40.0,57.0,74.0,14.0,17.5,15.0,74.0,74.0,108.0
28,2016,HND,9.0,9.0,7.0,21.0,13.0,7.0,7.0,6.0,74.0,33.0,15.0,5.0,59.0,74.0,74.0,74.0,74.0,19.0
29,2016,HUN,74.0,74.0,38.0,34.0,47.0,37.0,46.0,42.0,74.0,35.0,44.0,74.0,16.0,74.0,74.0,74.0,74.0,148.0
30,2016,ISL,74.0,74.0,74.0,70.0,52.0,66.0,58.0,63.0,74.0,1.0,74.0,74.0,14.0,74.0,74.0,74.0,74.0,158.5
31,2016,IND,7.0,7.0,10.0,6.0,6.0,16.0,5.0,9.0,74.0,73.0,5.0,4.0,68.0,1.0,1.0,74.0,74.0,111.5
32,2016,IDN,15.0,15.0,11.0,9.0,11.0,21.0,15.0,19.0,74.0,71.0,10.0,22.0,66.0,4.0,4.0,74.0,74.0,75.5
33,2016,IRN,30.0,30.0,52.0,32.0,25.0,56.0,28.0,32.0,74.0,65.0,21.0,26.0,46.0,74.0,74.0,74.0,74.0,66.5
34,2016,IRL,74.0,74.0,55.0,59.0,28.0,60.0,60.0,71.0,74.0,19.0,60.0,74.0,43.0,74.0,74.0,74.0,74.0,127.0
35,2016,ISR,74.0,74.0,50.0,69.0,72.0,54.0,70.0,55.0,74.0,30.0,60.0,74.0,14.0,74.0,74.0,74.0,74.0,78.0
36,2016,ITA,74.0,74.0,44.0,72.0,67.0,44.0,32.0,56.0,74.0,59.0,65.0,74.0,19.0,17.5,19.0,74.0,74.0,106.5
37,2016,KAZ,74.0,74.0,56.0,14.0,45.0,72.0,43.0,44.0,74.0,47.0,29.0,74.0,54.0,74.0,74.0,74.0,74.0,158.5
38,2016,KGZ,26.0,26.0,17.0,10.0,38.0,12.0,35.0,7.0,74.0,25.0,12.0,12.0,67.0,74.0,74.0,74.0,74.0,161.0
39,2016,LVA,74.0,74.0,34.0,23.0,30.0,30.0,66.0,40.0,74.0,8.0,47.0,74.0,37.0,74.0,74.0,74.0,74.0,120.0
40,2016,LBR,2.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,74.0,18.0,2.0,1.0,71.0,74.0,74.0,74.0,74.0,104.5
41,2016,LTU,74.0,74.0,33.0,27.0,31.0,35.0,70.0,45.0,74.0,13.0,43.0,74.0,45.0,74.0,74.0,74.0,74.0,84.0
42,2016,LUX,74.0,74.0,69.0,61.0,42.0,71.0,52.0,72.0,74.0,3.0,71.0,74.0,20.0,74.0,74.0,74.0,74.0,137.0
43,2016,MWI,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,74.0,46.0,4.0,3.0,73.0,74.0,74.0,74.0,74.0,35.0
44,2016,MLT,74.0,74.0,70.0,64.0,71.0,28.0,40.0,53.0,74.0,2.0,39.0,74.0,14.0,74.0,74.0,74.0,74.0,152.0
45,2016,MEX,23.0,23.0,24.0,24.0,26.0,32.0,19.0,31.0,74.0,67.0,23.0,24.0,38.0,6.5,5.0,74.0,74.0,25.0
46,2016,MNG,8.0,8.0,27.0,7.0,8.0,57.0,31.0,22.0,74.0,14.0,16.0,18.0,69.0,45.5,48.5,74.0,74.0,133.0
47,2016,MNE,74.0,74.0,31.0,38.0,34.0,27.0,40.0,35.0,74.0,4.0,57.0,74.0,41.0,74.0,74.0,74.0,74.0,82.5
48,2016,NLD,74.0,74.0,63.0,62.0,44.0,63.0,52.0,68.0,74.0,45.0,57.0,74.0,14.0,45.5,48.5,74.0,74.0,155.5
49,2016,MKD,74.0,74.0,22.0,28.0,33.0,29.0,26.0,24.0,74.0,10.0,28.0,31.0,42.0,74.0,74.0,74.0,74.0,116.0
50,2016,NOR,74.0,74.0,72.0,63.0,48.0,58.0,63.0,74.0,74.0,21.0,70.0,74.0,14.0,45.5,40.5,74.0,74.0,154.0
51,2016,PAN,11.0,11.0,42.0,43.0,12.0,26.0,30.0,39.0,74.0,17.0,17.0,14.0,61.0,74.0,74.0,74.0,74.0,17.0
52,2016,PRY,17.0,17.0,35.0,18.0,24.0,9.0,18.0,13.0,74.0,27.0,14.0,15.0,39.0,74.0,74.0,74.0,74.0,24.0
53,2016,PER,12.0,12.0,14.0,31.0,10.0,14.0,25.0,21.0,74.0,52.0,19.0,19.0,64.0,74.0,74.0,74.0,74.0,42.0
54,2016,POL,74.0,74.0,46.0,45.0,60.0,59.0,53.0,46.0,74.0,54.0,46.0,74.0,33.0,34.5,31.5,74.0,74.0,141.5
55,2016,PRT,74.0,74.0,45.0,58.0,64.0,38.0,25.0,48.0,74.0,37.0,62.0,74.0,21.0,45.5,40.5,74.0,74.0,106.5
56,2016,ROU,20.0,20.0,26.0,30.0,16.0,31.0,36.0,36.0,74.0,48.0,35.0,74.0,14.0,34.5,31.5,74.0,74.0,117.5
57,2016,RUS,74.0,74.0,62.0,13.0,23.0,67.0,47.0,43.0,74.0,68.0,37.0,74.0,47.0,74.0,74.0,74.0,74.0,93.5
58,2016,RWA,3.0,3.0,1.0,5.0,9.0,2.0,1.0,3.0,74.0,43.0,6.0,2.0,74.0,74.0,74.0,74.0,74.0,41.0
59,2016,SRB,74.0,74.0,32.0,29.0,43.0,40.0,37.0,25.0,74.0,29.0,42.0,28.0,57.0,74.0,74.0,74.0,74.0,81.0
60,2016,SVK,74.0,74.0,47.0,41.0,40.0,49.0,60.0,49.0,74.0,22.0,41.0,25.0,24.0,74.0,74.0,74.0,74.0,166.0
61,2016,SVN,74.0,74.0,54.0,52.0,49.0,53.0,55.0,51.0,74.0,9.0,73.0,74.0,31.0,74.0,74.0,74.0,74.0,168.0
62,2016,KOR,74.0,74.0,68.0,67.0,70.0,68.0,52.0,57.0,74.0,58.0,63.0,74.0,27.0,74.0,74.0,74.0,74.0,139.0
63,2016,ESP,74.0,74.0,49.0,73.0,69.0,43.0,28.0,54.0,74.0,56.0,65.0,74.0,18.0,34.5,31.5,74.0,74.0,100.0
64,2016,LKA,14.0,14.0,6.0,37.0,29.0,10.0,35.0,20.0,74.0,49.0,32.0,23.0,65.0,34.5,40.5,74.0,74.0,75.5
65,2016,SWE,74.0,74.0,65.0,68.0,59.0,34.0,58.0,65.0,74.0,36.0,68.0,74.0,23.0,74.0,74.0,74.0,74.0,149.0
66,2016,CHE,74.0,74.0,53.0,74.0,68.0,36.0,73.0,73.0,74.0,31.0,50.0,74.0,14.0,74.0,74.0,74.0,74.0,125.0
67,2016,THA,28.0,28.0,29.0,36.0,39.0,33.0,10.0,30.0,74.0,62.0,28.0,17.0,32.0,74.0,74.0,74.0,74.0,91.0
68,2016,TUR,74.0,74.0,30.0,40.0,36.0,39.0,15.0,37.0,74.0,63.0,26.0,74.0,52.0,12.0,10.5,74.0,74.0,53.0
69,2016,UKR,74.0,74.0,36.0,11.0,41.0,42.0,40.0,14.0,74.0,55.0,34.0,74.0,60.0,27.0,25.0,74.0,74.0,167.0
70,2016,GBR,74.0,74.0,48.0,54.0,54.0,45.0,68.0,60.0,74.0,61.0,49.0,74.0,14.0,74.0,74.0,74.0,74.0,111.5
71,2016,USA,74.0,74.0,71.0,48.0,66.0,73.0,73.0,70.0,74.0,72.0,40.0,74.0,29.0,2.0,2.0,74.0,74.0,58.5
72,2016,URY,25.0,25.0,28.0,42.0,35.0,17.0,21.0,38.0,74.0,15.0,33.0,74.0,34.0,74.0,74.0,74.0,74.0,72.0
73,2016,VNM,21.0,21.0,13.0,25.0,14.0,19.0,16.0,8.0,74.0,66.0,11.0,14.0,55.0,74.0,74.0,74.0,74.0,104.5
