Year,Code,Access to electricity (% of population)_x,Access to electricity (% of population)_y,Primary energy consumption per capita (kWh/person),Life expectancy,People using at least basic sanitation services (% of population),Annual CO2 emissions (per capita),"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))",GDP per capita,417485-annotations,Population (historical estimates),"Child mortality (Select Gapminder, v10) (2017)",Prevalence of undernourishment (% of population),People using at least basic drinking water services (% of population)
2016,ALB,29.0,29.0,20.0,46.0,50.0,11.0,30.0,16.0,74.0,12.0,24.0,27.0,58.0
2016,ARM,27.0,27.0,21.0,20.0,32.0,15.0,43.0,15.0,74.0,11.0,25.0,32.0,28.0
2016,AUS,74.0,74.0,67.0,71.0,74.0,74.0,68.0,69.0,74.0,50.0,58.0,74.0,17.0
2016,AUT,74.0,74.0,59.0,56.0,73.0,55.0,52.0,62.0,74.0,32.0,62.0,74.0,14.0
2016,BGD,5.0,5.0,4.0,12.0,4.0,4.0,4.0,4.0,74.0,69.0,8.0,6.0,44.0
2016,BLR,74.0,74.0,41.0,19.0,46.0,47.0,55.0,34.0,74.0,34.0,53.0,74.0,50.0
2016,BEL,74.0,74.0,66.0,55.0,63.0,62.0,45.0,61.0,74.0,42.0,53.0,74.0,14.0
2016,BOL,10.0,10.0,12.0,8.0,5.0,20.0,23.0,10.0,74.0,41.0,7.0,7.0,63.0
2016,BRA,25.0,25.0,23.0,26.0,21.0,23.0,13.0,27.0,74.0,70.0,21.0,74.0,40.0
2016,BGR,74.0,74.0,43.0,22.0,18.0,48.0,45.0,33.0,74.0,28.0,38.0,30.0,36.0
2016,CAN,74.0,74.0,73.0,65.0,57.0,70.0,71.0,64.0,74.0,53.0,45.0,74.0,35.0
2016,CHN,74.0,74.0,37.0,33.0,19.0,52.0,13.0,23.0,74.0,74.0,31.0,74.0,62.0
2016,COL,17.0,17.0,16.0,39.0,27.0,18.0,17.0,26.0,74.0,57.0,19.0,22.0,48.0
2016,CRI,23.0,23.0,19.0,49.0,37.0,13.0,22.0,28.0,74.0,20.0,36.0,30.0,26.0
2016,CYP,74.0,74.0,39.0,50.0,61.0,46.0,52.0,50.0,74.0,6.0,70.0,74.0,25.0
2016,CZE,74.0,74.0,58.0,47.0,55.0,65.0,64.0,52.0,74.0,38.0,66.0,74.0,22.0
2016,DNK,74.0,74.0,51.0,51.0,65.0,50.0,63.0,67.0,74.0,24.0,48.0,74.0,14.0
2016,DOM,19.0,19.0,15.0,17.0,17.0,22.0,13.0,29.0,74.0,39.0,9.0,22.0,53.0
2016,ECU,18.0,18.0,18.0,35.0,22.0,24.0,21.0,17.0,74.0,44.0,13.0,10.0,56.0
2016,SLV,13.0,13.0,9.0,15.0,15.0,8.0,8.0,12.0,74.0,26.0,22.0,9.0,49.0
